Area Name,Birth place,Total,Male,Female,Rural_Total,Urban_Total
State - GOA (30),Haryana,1457,733,724,167,1290
State - GOA (30),NCT of Delhi,2026,1091,935,354,1672
State - GOA (30),Rajasthan,6428,3860,2568,878,5550
State - GOA (30),Uttar Pradesh,26002,17371,8631,4776,21226
State - GOA (30),Bihar,10951,7327,3624,2396,8555
State - GOA (30),Sikkim,27,9,18,4,23
State - GOA (30),Arunachal Pradesh,22,14,8,6,16
State - GOA (30),Nagaland,73,41,32,13,60
State - GOA (30),Manipur,299,214,85,110,189
State - GOA (30),Mizoram,25,12,13,3,22
State - GOA (30),Tripura,50,28,22,9,41
State - GOA (30),Meghalaya,55,24,31,13,42
State - GOA (30),Assam,1773,1403,370,535,1238
State - GOA (30),West Bengal,6639,4530,2109,1298,5341
State - GOA (30),Jharkhand,4621,3339,1282,2092,2529
State - GOA (30),Odisha,5513,3990,1523,1433,4080
State - GOA (30),Chhattisgarh,1163,697,466,362,801
State - GOA (30),Madhya Pradesh,3284,1959,1325,569,2715
State - GOA (30),Gujarat,3980,2006,1974,475,3505
State - GOA (30),Daman & Diu,280,127,153,55,225
State - GOA (30),Dadra & Nagar Haveli,17,11,6,2,15
State - GOA (30),Maharashtra,82122,37383,44739,24235,57887
State - GOA (30),Andhra Pradesh,6811,3463,3348,976,5835
State - GOA (30),Karnataka,148219,73269,74950,33761,114458
State - GOA (30),Lakshadweep,29,15,14,8,21
State - GOA (30),Kerala,10874,5699,5175,1790,9084
State - GOA (30),Tamil Nadu,4863,2608,2255,909,3954
State - GOA (30),Puducherry,62,35,27,4,58
State - GOA (30),Andaman & Nicobar Islands,73,44,29,14,59
State - GOA (30),Afganistan,13,12,1,1,12
State - GOA (30),Bangladesh,48,28,20,6,42
State - GOA (30),Bhutan,5,4,1,0,5
State - GOA (30),China,285,275,10,3,282
State - GOA (30),Indonesia,14,3,11,3,11
State - GOA (30),Iran,16,9,7,6,10
State - GOA (30),Iraq,2,0,2,0,2
State - GOA (30),Japan,8,2,6,3,5
State - GOA (30),Kuwait,978,457,521,262,716
State - GOA (30),Malaysia,5,1,4,1,4
State - GOA (30),Maldives,1,0,1,0,1
State - GOA (30),Mayanmar,19,11,8,0,19
State - GOA (30),Nepal,2172,1486,686,523,1649
State - GOA (30),Pakistan,396,191,205,85,311
State - GOA (30),Saudi Arabia,94,47,47,22,72
State - GOA (30),Singapore,12,4,8,2,10
State - GOA (30),Sri Lanka,22,9,13,8,14
State - GOA (30),United Arab Emirates,681,333,348,151,530
State - GOA (30),Vietnam,1,1,0,0,1
State - GOA (30),France,18,8,10,2,16
State - GOA (30),Germany,48,27,21,17,31
State - GOA (30),Portugal,16,8,8,3,13
State - GOA (30),UK,266,138,128,101,165
State - GOA (30),Kenya,433,220,213,101,332
State - GOA (30),Nigeria,2,0,2,0,2
State - GOA (30),Uganda,93,41,52,19,74
State - GOA (30),Zambia,3,1,2,1,2
State - GOA (30),Canada,8,3,5,3,5
State - GOA (30),U.S.A.,39,22,17,9,30
State - GOA (30),Australia,9,5,4,0,9
State - LAKSHADWEEP (31),Jammu & Kashmir,2,0,2,1,1
State - LAKSHADWEEP (31),Himachal Pradesh,2,2,0,0,2
State - LAKSHADWEEP (31),Punjab,1,0,1,0,1
State - LAKSHADWEEP (31),Chandigarh,2,2,0,0,2
State - LAKSHADWEEP (31),Uttarakhand,1,1,0,0,1
State - LAKSHADWEEP (31),Haryana,7,6,1,0,7
State - LAKSHADWEEP (31),NCT of Delhi,8,5,3,1,7
State - LAKSHADWEEP (31),Rajasthan,16,11,5,0,16
State - LAKSHADWEEP (31),Uttar Pradesh,34,22,12,0,34
State - LAKSHADWEEP (31),Bihar,13,11,2,4,9
State - LAKSHADWEEP (31),Arunachal Pradesh,3,1,2,0,3
State - LAKSHADWEEP (31),Mizoram,1,1,0,0,1
State - LAKSHADWEEP (31),Assam,6,3,3,0,6
State - LAKSHADWEEP (31),West Bengal,127,122,5,9,118
State - LAKSHADWEEP (31),Jharkhand,3,2,1,1,2
State - LAKSHADWEEP (31),Odisha,43,37,6,14,29
State - LAKSHADWEEP (31),Chhattisgarh,2,2,0,2,0
State - LAKSHADWEEP (31),Madhya Pradesh,20,18,2,1,19
State - LAKSHADWEEP (31),Gujarat,17,16,1,0,17
State - LAKSHADWEEP (31),Daman & Diu,7,7,0,3,4
State - LAKSHADWEEP (31),Dadra & Nagar Haveli,19,17,2,6,13
State - LAKSHADWEEP (31),Maharashtra,27,20,7,0,27
State - LAKSHADWEEP (31),Andhra Pradesh,29,22,7,6,23
State - LAKSHADWEEP (31),Karnataka,71,33,38,36,35
State - LAKSHADWEEP (31),Kerala,3127,2102,1025,414,2713
State - LAKSHADWEEP (31),Tamil Nadu,351,313,38,144,207
State - LAKSHADWEEP (31),Puducherry,3,1,2,0,3
State - LAKSHADWEEP (31),Andaman & Nicobar Islands,6,4,2,0,6
State - LAKSHADWEEP (31),Nepal,1,0,1,0,1
State - LAKSHADWEEP (31),Pakistan,15,15,0,0,15
State - LAKSHADWEEP (31),Sri Lanka,11,10,1,0,11
State - KERALA (32),Jammu & Kashmir,2315,1401,914,886,1429
State - KERALA (32),Himachal Pradesh,571,288,283,181,390
State - KERALA (32),Punjab,2266,1179,1087,914,1352
State - KERALA (32),Chandigarh,228,116,112,83,145
State - KERALA (32),Uttarakhand,716,366,350,181,535
State - KERALA (32),Haryana,1880,961,919,544,1336
State - KERALA (32),NCT of Delhi,6741,3405,3336,3142,3599
State - KERALA (32),Rajasthan,7771,4638,3133,2116,5655
State - KERALA (32),Uttar Pradesh,11580,7512,4068,3303,8277
State - KERALA (32),Bihar,10763,8035,2728,2977,7786
State - KERALA (32),Sikkim,89,47,42,41,48
State - KERALA (32),Arunachal Pradesh,407,185,222,247,160
State - KERALA (32),Nagaland,596,315,281,330,266
State - KERALA (32),Manipur,615,398,217,203,412
State - KERALA (32),Mizoram,91,42,49,45,46
State - KERALA (32),Tripura,131,74,57,76,55
State - KERALA (32),Meghalaya,238,112,126,109,129
State - KERALA (32),Assam,8262,7089,1173,4054,4208
State - KERALA (32),West Bengal,31641,27761,3880,13256,18385
State - KERALA (32),Jharkhand,2862,1985,877,1280,1582
State - KERALA (32),Odisha,12387,9758,2629,4863,7524
State - KERALA (32),Chhattisgarh,1720,827,893,615,1105
State - KERALA (32),Madhya Pradesh,5121,2476,2645,2303,2818
State - KERALA (32),Gujarat,5524,2552,2972,1969,3555
State - KERALA (32),Daman & Diu,11,6,5,2,9
State - KERALA (32),Dadra & Nagar Haveli,9,2,7,5,4
State - KERALA (32),Maharashtra,28995,13292,15703,9393,19602
State - KERALA (32),Andhra Pradesh,14174,7069,7105,4473,9701
State - KERALA (32),Karnataka,101136,41921,59215,58762,42374
State - KERALA (32),Goa,1232,546,686,452,780
State - KERALA (32),Lakshadweep,1837,1106,731,276,1561
State - KERALA (32),Tamil Nadu,327476,160931,166545,164395,163081
State - KERALA (32),Puducherry,25167,11243,13924,4950,20217
State - KERALA (32),Andaman & Nicobar Islands,1297,599,698,574,723
State - KERALA (32),Afganistan,31,31,0,7,24
State - KERALA (32),Bangladesh,105,70,35,18,87
State - KERALA (32),Bhutan,38,18,20,16,22
State - KERALA (32),China,26,11,15,10,16
State - KERALA (32),Indonesia,27,3,24,13,14
State - KERALA (32),Iran,30,9,21,8,22
State - KERALA (32),Iraq,29,17,12,6,23
State - KERALA (32),Japan,17,3,14,2,15
State - KERALA (32),Kuwait,2372,1188,1184,963,1409
State - KERALA (32),Malaysia,1385,554,831,394,991
State - KERALA (32),Maldives,397,184,213,16,381
State - KERALA (32),Mayanmar,249,100,149,61,188
State - KERALA (32),Nepal,2807,1818,989,1071,1736
State - KERALA (32),Pakistan,328,148,180,165,163
State - KERALA (32),Saudi Arabia,6263,3189,3074,3429,2834
State - KERALA (32),Singapore,1147,451,696,355,792
State - KERALA (32),Sri Lanka,5093,2478,2615,4014,1079
State - KERALA (32),United Arab Emirates,12375,6199,6176,4167,8208
State - KERALA (32),Kazakstan,3,0,3,0,3
State - KERALA (32),Vietnam,1,0,1,1,0
State - KERALA (32),France,39,18,21,20,19
State - KERALA (32),Germany,193,92,101,84,109
State - KERALA (32),Portugal,2,0,2,2,0
State - KERALA (32),UK,440,202,238,263,177
State - KERALA (32),Kenya,55,28,27,18,37
State - KERALA (32),Mauritius,4,4,0,1,3
State - KERALA (32),Nigeria,99,40,59,30,69
State - KERALA (32),Uganda,10,5,5,2,8
State - KERALA (32),Zambia,15,2,13,3,12
State - KERALA (32),Canada,44,28,16,16,28
State - KERALA (32),U.S.A.,534,246,288,200,334
State - KERALA (32),Australia,63,34,29,33,30
State - TAMIL NADU (33),Jammu & Kashmir,4434,2338,2096,1761,2673
State - TAMIL NADU (33),Himachal Pradesh,1029,592,437,220,809
State - TAMIL NADU (33),Punjab,5503,2940,2563,901,4602
State - TAMIL NADU (33),Chandigarh,626,306,320,156,470
State - TAMIL NADU (33),Uttarakhand,1113,649,464,149,964
State - TAMIL NADU (33),Haryana,5581,3199,2382,657,4924
State - TAMIL NADU (33),NCT of Delhi,7364,3578,3786,944,6420
State - TAMIL NADU (33),Rajasthan,98393,55467,42926,4783,93610
State - TAMIL NADU (33),Uttar Pradesh,31863,19249,12614,5135,26728
State - TAMIL NADU (33),Bihar,36016,23557,12459,8242,27774
State - TAMIL NADU (33),Sikkim,197,115,82,62,135
State - TAMIL NADU (33),Arunachal Pradesh,413,216,197,103,310
State - TAMIL NADU (33),Nagaland,397,199,198,89,308
State - TAMIL NADU (33),Manipur,1672,862,810,507,1165
State - TAMIL NADU (33),Mizoram,200,129,71,38,162
State - TAMIL NADU (33),Tripura,399,235,164,78,321
State - TAMIL NADU (33),Meghalaya,408,205,203,125,283
State - TAMIL NADU (33),Assam,7395,4898,2497,2074,5321
State - TAMIL NADU (33),West Bengal,30445,18116,12329,3519,26926
State - TAMIL NADU (33),Jharkhand,8806,5560,3246,2321,6485
State - TAMIL NADU (33),Odisha,27293,18165,9128,9509,17784
State - TAMIL NADU (33),Chhattisgarh,2073,1078,995,268,1805
State - TAMIL NADU (33),Madhya Pradesh,10753,5518,5235,1659,9094
State - TAMIL NADU (33),Gujarat,19554,9646,9908,2036,17518
State - TAMIL NADU (33),Daman & Diu,15,9,6,2,13
State - TAMIL NADU (33),Dadra & Nagar Haveli,94,43,51,39,55
State - TAMIL NADU (33),Maharashtra,69160,31539,37621,12984,56176
State - TAMIL NADU (33),Andhra Pradesh,330830,134592,196238,86180,244650
State - TAMIL NADU (33),Karnataka,302185,106365,195820,116827,185358
State - TAMIL NADU (33),Goa,1151,576,575,298,853
State - TAMIL NADU (33),Lakshadweep,69,44,25,16,53
State - TAMIL NADU (33),Kerala,581888,246358,335530,97700,484188
State - TAMIL NADU (33),Puducherry,292385,122572,169813,169855,122530
State - TAMIL NADU (33),Andaman & Nicobar Islands,5371,2292,3079,2494,2877
State - TAMIL NADU (33),Afganistan,2,0,2,0,2
State - TAMIL NADU (33),Bangladesh,317,166,151,47,270
State - TAMIL NADU (33),Bhutan,117,65,52,51,66
State - TAMIL NADU (33),China,716,518,198,26,690
State - TAMIL NADU (33),Indonesia,121,40,81,22,99
State - TAMIL NADU (33),Iran,25,13,12,0,25
State - TAMIL NADU (33),Iraq,22,9,13,2,20
State - TAMIL NADU (33),Japan,100,44,56,15,85
State - TAMIL NADU (33),Kuwait,581,293,288,87,494
State - TAMIL NADU (33),Malaysia,9615,3831,5784,4800,4815
State - TAMIL NADU (33),Maldives,31,11,20,2,29
State - TAMIL NADU (33),Mayanmar,29592,14397,15195,3715,25877
State - TAMIL NADU (33),Nepal,8156,5215,2941,1868,6288
State - TAMIL NADU (33),Pakistan,1349,636,713,212,1137
State - TAMIL NADU (33),Saudi Arabia,960,524,436,161,799
State - TAMIL NADU (33),Singapore,3531,1345,2186,1511,2020
State - TAMIL NADU (33),Sri Lanka,184505,90674,93831,85991,98514
State - TAMIL NADU (33),Turkey,3,0,3,0,3
State - TAMIL NADU (33),United Arab Emirates,1984,1029,955,344,1640
State - TAMIL NADU (33),Vietnam,84,31,53,15,69
State - TAMIL NADU (33),France,194,85,109,95,99
State - TAMIL NADU (33),Germany,195,89,106,75,120
State - TAMIL NADU (33),Portugal,1,1,0,0,1
State - TAMIL NADU (33),UK,533,282,251,64,469
State - TAMIL NADU (33),Kenya,75,42,33,21,54
State - TAMIL NADU (33),Mauritius,20,5,15,3,17
State - TAMIL NADU (33),Nigeria,45,33,12,0,45
State - TAMIL NADU (33),Uganda,16,9,7,1,15
State - TAMIL NADU (33),Zambia,5,2,3,1,4
State - TAMIL NADU (33),Canada,166,78,88,16,150
State - TAMIL NADU (33),U.S.A.,3189,1616,1573,216,2973
State - TAMIL NADU (33),Australia,125,56,69,19,106
State - TAMIL NADU (33),Fiji,4,3,1,1,3
State - PUDUCHERRY (34),Jammu & Kashmir,120,69,51,28,92
State - PUDUCHERRY (34),Himachal Pradesh,29,14,15,4,25
State - PUDUCHERRY (34),Punjab,147,77,70,18,129
State - PUDUCHERRY (34),Chandigarh,13,6,7,0,13
State - PUDUCHERRY (34),Uttarakhand,31,19,12,1,30
State - PUDUCHERRY (34),Haryana,155,69,86,21,134
State - PUDUCHERRY (34),NCT of Delhi,414,204,210,33,381
State - PUDUCHERRY (34),Rajasthan,1583,875,708,59,1524
State - PUDUCHERRY (34),Uttar Pradesh,1011,563,448,264,747
State - PUDUCHERRY (34),Bihar,869,496,373,252,617
State - PUDUCHERRY (34),Sikkim,10,4,6,0,10
State - PUDUCHERRY (34),Arunachal Pradesh,13,6,7,4,9
State - PUDUCHERRY (34),Nagaland,16,4,12,4,12
State - PUDUCHERRY (34),Manipur,36,17,19,2,34
State - PUDUCHERRY (34),Mizoram,2,2,0,0,2
State - PUDUCHERRY (34),Tripura,29,18,11,3,26
State - PUDUCHERRY (34),Meghalaya,18,8,10,1,17
State - PUDUCHERRY (34),Assam,177,98,79,24,153
State - PUDUCHERRY (34),West Bengal,1331,686,645,73,1258
State - PUDUCHERRY (34),Jharkhand,144,77,67,24,120
State - PUDUCHERRY (34),Odisha,1976,1116,860,485,1491
State - PUDUCHERRY (34),Chhattisgarh,38,16,22,2,36
State - PUDUCHERRY (34),Madhya Pradesh,230,115,115,33,197
State - PUDUCHERRY (34),Gujarat,1872,949,923,110,1762
State - PUDUCHERRY (34),Daman & Diu,2,1,1,0,2
State - PUDUCHERRY (34),Maharashtra,1610,712,898,156,1454
State - PUDUCHERRY (34),Andhra Pradesh,32287,14571,17716,298,31989
State - PUDUCHERRY (34),Karnataka,2697,1103,1594,306,2391
State - PUDUCHERRY (34),Goa,33,15,18,2,31
State - PUDUCHERRY (34),Lakshadweep,5,2,3,0,5
State - PUDUCHERRY (34),Kerala,22657,9321,13336,414,22243
State - PUDUCHERRY (34),Tamil Nadu,295284,117000,178284,90023,205261
State - PUDUCHERRY (34),Andaman & Nicobar Islands,97,41,56,17,80
State - PUDUCHERRY (34),Bangladesh,50,24,26,0,50
State - PUDUCHERRY (34),Bhutan,5,5,0,0,5
State - PUDUCHERRY (34),China,30,26,4,23,7
State - PUDUCHERRY (34),Indonesia,26,7,19,6,20
State - PUDUCHERRY (34),Iran,2,0,2,1,1
State - PUDUCHERRY (34),Iraq,1,0,1,0,1
State - PUDUCHERRY (34),Kuwait,37,16,21,2,35
State - PUDUCHERRY (34),Malaysia,235,85,150,66,169
State - PUDUCHERRY (34),Mayanmar,186,78,108,31,155
State - PUDUCHERRY (34),Nepal,424,250,174,114,310
State - PUDUCHERRY (34),Pakistan,305,150,155,116,189
State - PUDUCHERRY (34),Saudi Arabia,32,17,15,0,32
State - PUDUCHERRY (34),Singapore,178,71,107,39,139
State - PUDUCHERRY (34),Sri Lanka,338,149,189,109,229
State - PUDUCHERRY (34),United Arab Emirates,99,50,49,13,86
State - PUDUCHERRY (34),Vietnam,88,26,62,4,84
State - PUDUCHERRY (34),France,296,133,163,34,262
State - PUDUCHERRY (34),Germany,15,6,9,1,14
State - PUDUCHERRY (34),UK,28,8,20,5,23
State - PUDUCHERRY (34),Kenya,9,5,4,0,9
State - PUDUCHERRY (34),Mauritius,1,1,0,0,1
State - PUDUCHERRY (34),Nigeria,1,0,1,0,1
State - PUDUCHERRY (34),Uganda,1,0,1,0,1
State - PUDUCHERRY (34),Canada,5,4,1,0,5
State - PUDUCHERRY (34),U.S.A.,62,29,33,2,60
State - PUDUCHERRY (34),Australia,11,6,5,0,11
State - ANDAMAN & NICOBAR ISLANDS (35),Jammu & Kashmir,78,36,42,33,45
State - ANDAMAN & NICOBAR ISLANDS (35),Himachal Pradesh,85,32,53,18,67
State - ANDAMAN & NICOBAR ISLANDS (35),Punjab,585,299,286,266,319
State - ANDAMAN & NICOBAR ISLANDS (35),Chandigarh,52,34,18,20,32
State - ANDAMAN & NICOBAR ISLANDS (35),Uttarakhand,251,116,135,110,141
State - ANDAMAN & NICOBAR ISLANDS (35),Haryana,494,191,303,110,384
State - ANDAMAN & NICOBAR ISLANDS (35),NCT of Delhi,247,104,143,49,198
State - ANDAMAN & NICOBAR ISLANDS (35),Rajasthan,372,175,197,107,265
State - ANDAMAN & NICOBAR ISLANDS (35),Uttar Pradesh,4429,2217,2212,1401,3028
State - ANDAMAN & NICOBAR ISLANDS (35),Bihar,2956,1695,1261,1302,1654
State - ANDAMAN & NICOBAR ISLANDS (35),Sikkim,9,4,5,4,5
State - ANDAMAN & NICOBAR ISLANDS (35),Arunachal Pradesh,12,5,7,8,4
State - ANDAMAN & NICOBAR ISLANDS (35),Nagaland,20,11,9,8,12
State - ANDAMAN & NICOBAR ISLANDS (35),Manipur,39,20,19,14,25
State - ANDAMAN & NICOBAR ISLANDS (35),Mizoram,10,3,7,8,2
State - ANDAMAN & NICOBAR ISLANDS (35),Tripura,81,61,20,59,22
State - ANDAMAN & NICOBAR ISLANDS (35),Meghalaya,14,7,7,5,9
State - ANDAMAN & NICOBAR ISLANDS (35),Assam,656,377,279,473,183
State - ANDAMAN & NICOBAR ISLANDS (35),West Bengal,23736,15427,8309,14172,9564
State - ANDAMAN & NICOBAR ISLANDS (35),Jharkhand,13066,7662,5404,10148,2918
State - ANDAMAN & NICOBAR ISLANDS (35),Odisha,1740,1015,725,1118,622
State - ANDAMAN & NICOBAR ISLANDS (35),Chhattisgarh,3348,1945,1403,2741,607
State - ANDAMAN & NICOBAR ISLANDS (35),Madhya Pradesh,817,464,353,560,257
State - ANDAMAN & NICOBAR ISLANDS (35),Gujarat,166,88,78,42,124
State - ANDAMAN & NICOBAR ISLANDS (35),Daman & Diu,1,0,1,0,1
State - ANDAMAN & NICOBAR ISLANDS (35),Dadra & Nagar Haveli,1,0,1,0,1
State - ANDAMAN & NICOBAR ISLANDS (35),Maharashtra,771,389,382,241,530
State - ANDAMAN & NICOBAR ISLANDS (35),Andhra Pradesh,18665,9483,9182,6369,12296
State - ANDAMAN & NICOBAR ISLANDS (35),Karnataka,335,161,174,100,235
State - ANDAMAN & NICOBAR ISLANDS (35),Goa,60,32,28,11,49
State - ANDAMAN & NICOBAR ISLANDS (35),Lakshadweep,8,8,0,4,4
State - ANDAMAN & NICOBAR ISLANDS (35),Kerala,6848,3375,3473,2988,3860
State - ANDAMAN & NICOBAR ISLANDS (35),Tamil Nadu,23247,12437,10810,8928,14319
State - ANDAMAN & NICOBAR ISLANDS (35),Puducherry,67,42,25,23,44
State - ANDAMAN & NICOBAR ISLANDS (35),Bangladesh,9651,5103,4548,9439,212
State - ANDAMAN & NICOBAR ISLANDS (35),Bhutan,12,6,6,10,2
State - ANDAMAN & NICOBAR ISLANDS (35),Iran,1,0,1,0,1
State - ANDAMAN & NICOBAR ISLANDS (35),Japan,2,1,1,0,2
State - ANDAMAN & NICOBAR ISLANDS (35),Kuwait,1,1,0,0,1
State - ANDAMAN & NICOBAR ISLANDS (35),Malaysia,32,10,22,19,13
State - ANDAMAN & NICOBAR ISLANDS (35),Mayanmar,333,146,187,238,95
State - ANDAMAN & NICOBAR ISLANDS (35),Nepal,429,241,188,126,303
State - ANDAMAN & NICOBAR ISLANDS (35),Pakistan,68,37,31,35,33
State - ANDAMAN & NICOBAR ISLANDS (35),Singapore,15,5,10,9,6
State - ANDAMAN & NICOBAR ISLANDS (35),Sri Lanka,258,129,129,230,28
State - ANDAMAN & NICOBAR ISLANDS (35),United Arab Emirates,2,1,1,2,0
State - ANDAMAN & NICOBAR ISLANDS (35),UK,3,0,3,1,2
