AreaName,BirthPlace,Total_Persons,Total_Males,Total_Females,Rural_Persons,Rural_Males,Rural_Females,Urban_Persons,Urban_Males,Urban_Females
MAHARASHTRA,Turkey,5,2,3,0,0,0,5,2,3
MAHARASHTRA,United Arab Emirates,4201,2124,2077,98,45,53,4103,2079,2024
MAHARASHTRA,Kazakstan,20,14,6,10,10,0,10,4,6
MAHARASHTRA,Vietnam,39,22,17,0,0,0,39,22,17
MAHARASHTRA,France,107,68,39,2,2,0,105,66,39
MAHARASHTRA,Germany,221,96,125,19,8,11,202,88,114
MAHARASHTRA,Portugal,4,0,4,0,0,0,4,0,4
MAHARASHTRA,UK,1203,581,622,16,6,10,1187,575,612
MAHARASHTRA,Kenya,438,210,228,6,3,3,432,207,225
MAHARASHTRA,Mauritius,50,19,31,2,0,2,48,19,29
MAHARASHTRA,Nigeria,137,90,47,2,2,0,135,88,47
MAHARASHTRA,Uganda,102,47,55,1,0,1,101,47,54
MAHARASHTRA,Zambia,19,10,9,0,0,0,19,10,9
MAHARASHTRA,Canada,331,157,174,20,4,16,311,153,158
MAHARASHTRA,U.S.A.,4046,2071,1975,49,29,20,3997,2042,1955
MAHARASHTRA,Australia,222,102,120,4,3,1,218,99,119
MAHARASHTRA,Fiji,6,1,5,0,0,0,6,1,5
ANDHRA PRADESH,Jammu & Kashmir,4154,2490,1664,1362,815,547,2792,1675,1117
ANDHRA PRADESH,Himachal Pradesh,1870,987,883,314,184,130,1556,803,753
ANDHRA PRADESH,Punjab,7301,3864,3437,766,438,328,6535,3426,3109
ANDHRA PRADESH,Chandigarh,764,352,412,115,53,62,649,299,350
ANDHRA PRADESH,Uttarakhand,3043,1565,1478,190,104,86,2853,1461,1392
ANDHRA PRADESH,Haryana,7994,4159,3835,556,295,261,7438,3864,3574
ANDHRA PRADESH,NCT of Delhi,11688,5964,5724,948,490,458,10740,5474,5266
ANDHRA PRADESH,Rajasthan,83288,47197,36091,11635,6892,4743,71653,40305,31348
ANDHRA PRADESH,Uttar Pradesh,60523,35191,25332,7018,4586,2432,53505,30605,22900
ANDHRA PRADESH,Bihar,57914,34458,23456,9585,6534,3051,48329,27924,20405
ANDHRA PRADESH,Sikkim,153,66,87,12,5,7,141,61,80
ANDHRA PRADESH,Arunachal Pradesh,181,93,88,32,18,14,149,75,74
ANDHRA PRADESH,Nagaland,315,164,151,60,32,28,255,132,123
ANDHRA PRADESH,Manipur,1426,652,774,212,146,66,1214,506,708
ANDHRA PRADESH,Mizoram,233,109,124,45,29,16,188,80,108
ANDHRA PRADESH,Tripura,343,195,148,40,27,13,303,168,135
ANDHRA PRADESH,Meghalaya,370,170,200,35,14,21,335,156,179
ANDHRA PRADESH,Assam,6652,3669,2983,1652,866,786,5000,2803,2197
ANDHRA PRADESH,West Bengal,55655,29021,26634,8658,4422,4236,46997,24599,22398
ANDHRA PRADESH,Jharkhand,14421,7579,6842,2372,1407,965,12049,6172,5877
ANDHRA PRADESH,Odisha,199305,82647,116658,96730,32866,63864,102575,49781,52794
ANDHRA PRADESH,Chhattisgarh,27540,12635,14905,18104,8457,9647,9436,4178,5258
ANDHRA PRADESH,Madhya Pradesh,19549,9806,9743,3738,1885,1853,15811,7921,7890
ANDHRA PRADESH,Gujarat,22591,11334,11257,2467,1159,1308,20124,10175,9949
ANDHRA PRADESH,Daman & Diu,17,6,11,0,0,0,17,6,11
ANDHRA PRADESH,Dadra & Nagar Haveli,11,2,9,3,0,3,8,2,6
ANDHRA PRADESH,Maharashtra,268452,92862,175590,132439,32489,99950,136013,60373,75640
ANDHRA PRADESH,Karnataka,490083,130844,359239,282694,44302,238392,207389,86542,120847
ANDHRA PRADESH,Goa,1154,517,637,202,77,125,952,440,512
ANDHRA PRADESH,Lakshadweep,171,100,71,122,74,48,49,26,23
ANDHRA PRADESH,Kerala,49252,22794,26458,7386,2912,4474,41866,19882,21984
ANDHRA PRADESH,Tamil Nadu,283633,107468,176165,115784,32149,83635,167849,75319,92530
ANDHRA PRADESH,Puducherry,7700,2949,4751,3964,1378,2586,3736,1571,2165
ANDHRA PRADESH,Andaman & Nicobar Islands,1912,762,1150,1136,423,713,776,339,437
ANDHRA PRADESH,Afganistan,43,32,11,0,0,0,43,32,11
ANDHRA PRADESH,Bangladesh,4288,2187,2101,3858,1955,1903,430,232,198
ANDHRA PRADESH,Bhutan,94,74,20,1,1,0,93,73,20
ANDHRA PRADESH,China,52,24,28,5,1,4,47,23,24
ANDHRA PRADESH,Indonesia,21,9,12,2,0,2,19,9,10
ANDHRA PRADESH,Iran,72,35,37,4,2,2,68,33,35
ANDHRA PRADESH,Iraq,17,10,7,1,1,0,16,9,7
ANDHRA PRADESH,Japan,19,8,11,2,0,2,17,8,9
ANDHRA PRADESH,Kuwait,472,250,222,146,67,79,326,183,143
ANDHRA PRADESH,Malaysia,320,152,168,149,70,79,171,82,89
ANDHRA PRADESH,Maldives,8,3,5,0,0,0,8,3,5
ANDHRA PRADESH,Mayanmar,3517,1795,1722,413,207,206,3104,1588,1516
ANDHRA PRADESH,Nepal,7478,4524,2954,1997,1320,677,5481,3204,2277
ANDHRA PRADESH,Pakistan,1632,851,781,218,95,123,1414,756,658
ANDHRA PRADESH,Saudi Arabia,1186,638,548,21,14,7,1165,624,541
ANDHRA PRADESH,Singapore,197,99,98,66,37,29,131,62,69
ANDHRA PRADESH,Sri Lanka,2514,1256,1258,1458,721,737,1056,535,521
ANDHRA PRADESH,Turkey,3,2,1,0,0,0,3,2,1
ANDHRA PRADESH,United Arab Emirates,651,359,292,35,23,12,616,336,280
ANDHRA PRADESH,Vietnam,2,0,2,0,0,0,2,0,2
ANDHRA PRADESH,France,10,3,7,0,0,0,10,3,7
ANDHRA PRADESH,Germany,37,21,16,3,2,1,34,19,15
ANDHRA PRADESH,UK,285,150,135,46,28,18,239,122,117
ANDHRA PRADESH,Kenya,16,5,11,0,0,0,16,5,11
ANDHRA PRADESH,Mauritius,2,0,2,0,0,0,2,0,2
ANDHRA PRADESH,Nigeria,18,12,6,0,0,0,18,12,6
ANDHRA PRADESH,Zambia,5,3,2,1,1,0,4,2,2
ANDHRA PRADESH,Canada,94,39,55,9,4,5,85,35,50
ANDHRA PRADESH,U.S.A.,3620,1808,1812,339,179,160,3281,1629,1652
ANDHRA PRADESH,Australia,117,69,48,17,9,8,100,60,40
KARNATAKA,Jammu & Kashmir,7372,4559,2813,2112,1562,550,5260,2997,2263
KARNATAKA,Himachal Pradesh,4567,2780,1787,1661,1121,540,2906,1659,1247
KARNATAKA,Punjab,11606,6146,5460,886,545,341,10720,5601,5119
KARNATAKA,Chandigarh,1446,736,710,54,25,29,1392,711,681
KARNATAKA,Uttarakhand,5762,3274,2488,431,290,141,5331,2984,2347
KARNATAKA,Haryana,13149,7113,6036,840,492,348,12309,6621,5688
KARNATAKA,NCT of Delhi,24754,12951,11803,1206,725,481,23548,12226,11322
KARNATAKA,Rajasthan,157867,91001,66866,12307,7562,4745,145560,83439,62121
KARNATAKA,Uttar Pradesh,101615,63089,38526,10440,7604,2836,91175,55485,35690
KARNATAKA,Bihar,96200,66121,30079,16974,12944,4030,79226,53177,26049
KARNATAKA,Sikkim,1308,829,479,735,521,214,573,308,265
KARNATAKA,Arunachal Pradesh,2195,1793,402,1041,898,143,1154,895,259
KARNATAKA,Nagaland,1326,667,659,200,87,113,1126,580,546
KARNATAKA,Manipur,5120,2896,2224,379,254,125,4741,2642,2099
KARNATAKA,Mizoram,464,204,260,42,16,26,422,188,234
KARNATAKA,Tripura,1836,1264,572,226,181,45,1610,1083,527
KARNATAKA,Meghalaya,1757,909,848,376,221,155,1381,688,693
KARNATAKA,Assam,23497,17314,6183,6534,5251,1283,16963,12063,4900
KARNATAKA,West Bengal,71070,44191,26879,8882,6455,2427,62188,37736,24452
KARNATAKA,Jharkhand,23015,15342,7673,3230,2586,644,19785,12756,7029
KARNATAKA,Odisha,68303,47596,20707,16713,11869,4844,51590,35727,15863
KARNATAKA,Chhattisgarh,7279,4078,3201,1182,639,543,6097,3439,2658
KARNATAKA,Madhya Pradesh,23365,12944,10421,2307,1469,838,21058,11475,9583
KARNATAKA,Gujarat,37282,19145,18137,2583,1373,1210,34699,17772,16927
KARNATAKA,Daman & Diu,31,14,17,2,2,0,29,12,17
KARNATAKA,Dadra & Nagar Haveli,51,26,25,23,11,12,28,15,13
KARNATAKA,Maharashtra,573068,188656,384412,323072,88978,234094,249996,99678,150318
KARNATAKA,Andhra Pradesh,934953,380164,554789,327914,84369,243545,607039,295795,311244
KARNATAKA,Goa,18356,7067,11289,6863,2501,4362,11493,4566,6927
KARNATAKA,Lakshadweep,372,201,171,115,53,62,257,148,109
KARNATAKA,Kerala,372292,176661,195631,87173,36474,50699,285119,140187,144932
KARNATAKA,Tamil Nadu,779991,382641,397350,119949,47457,72492,660042,335184,324858
KARNATAKA,Puducherry,3309,1656,1653,205,84,121,3104,1572,1532
KARNATAKA,Andaman & Nicobar Islands,908,429,479,118,52,66,790,377,413
KARNATAKA,Afganistan,76,56,20,6,5,1,70,51,19
KARNATAKA,Bangladesh,4271,2230,2041,3491,1806,1685,780,424,356
KARNATAKA,Bhutan,588,436,152,256,188,68,332,248,84
KARNATAKA,China,8945,6481,2464,7342,5069,2273,1603,1412,191
KARNATAKA,Indonesia,45,24,21,10,10,0,35,14,21
KARNATAKA,Iran,415,228,187,0,0,0,415,228,187
KARNATAKA,Iraq,67,38,29,4,2,2,63,36,27
KARNATAKA,Japan,74,32,42,0,0,0,74,32,42
KARNATAKA,Kuwait,964,515,449,72,41,31,892,474,418
KARNATAKA,Malaysia,627,221,406,12,4,8,615,217,398
KARNATAKA,Maldives,247,110,137,1,1,0,246,109,137
KARNATAKA,Mayanmar,555,280,275,241,123,118,314,157,157
KARNATAKA,Nepal,14837,9244,5593,3866,2590,1276,10971,6654,4317
KARNATAKA,Pakistan,2082,1036,1046,42,24,18,2040,1012,1028
KARNATAKA,Saudi Arabia,1121,579,542,86,48,38,1035,531,504
KARNATAKA,Singapore,266,129,137,19,7,12,247,122,125
KARNATAKA,Sri Lanka,4312,2082,2230,3407,1660,1747,905,422,483
KARNATAKA,Turkey,6,4,2,0,0,0,6,4,2
KARNATAKA,United Arab Emirates,2022,1033,989,176,95,81,1846,938,908
KARNATAKA,Kazakstan,1,0,1,0,0,0,1,0,1
KARNATAKA,Vietnam,15,9,6,0,0,0,15,9,6
KARNATAKA,France,102,53,49,7,3,4,95,50,45
KARNATAKA,Germany,224,113,111,18,11,7,206,102,104
KARNATAKA,Portugal,6,0,6,0,0,0,6,0,6
KARNATAKA,UK,735,381,354,34,14,20,701,367,334
KARNATAKA,Kenya,134,83,51,8,3,5,126,80,46
KARNATAKA,Mauritius,19,5,14,0,0,0,19,5,14
KARNATAKA,Nigeria,49,26,23,2,0,2,47,26,21
KARNATAKA,Uganda,54,31,23,6,5,1,48,26,22
KARNATAKA,Zambia,8,4,4,0,0,0,8,4,4
KARNATAKA,Canada,245,83,162,10,4,6,235,79,156
KARNATAKA,U.S.A.,3459,1734,1725,61,35,26,3398,1699,1699
KARNATAKA,Australia,113,55,58,4,3,1,109,52,57
KARNATAKA,Fiji,4,0,4,0,0,0,4,0,4
GOA,Jammu & Kashmir,737,461,276,178,122,56,559,339,220
GOA,Himachal Pradesh,553,294,259,55,35,20,498,259,239
GOA,Punjab,1173,625,548,209,129,80,964,496,468
GOA,Chandigarh,95,38,57,26,11,15,69,27,42
GOA,Uttarakhand,877,501,376,102,62,40,775,439,336
GOA,Haryana,1457,733,724,167,102,65,1290,631,659
GOA,NCT of Delhi,2026,1091,935,354,197,157,1672,894,778
GOA,Rajasthan,6428,3860,2568,878,553,325,5550,3307,2243
GOA,Uttar Pradesh,26002,17371,8631,4776,3429,1347,21226,13942,7284
GOA,Bihar,10951,7327,3624,2396,1728,668,8555,5599,2956
GOA,Sikkim,27,9,18,4,1,3,23,8,15
GOA,Arunachal Pradesh,22,14,8,6,5,1,16,9,7
GOA,Nagaland,73,41,32,13,6,7,60,35,25
GOA,Manipur,299,214,85,110,93,17,189,121,68
GOA,Mizoram,25,12,13,3,0,3,22,12,10
GOA,Tripura,50,28,22,9,8,1,41,20,21
GOA,Meghalaya,55,24,31,13,8,5,42,16,26
GOA,Assam,1773,1403,370,535,460,75,1238,943,295
GOA,West Bengal,6639,4530,2109,1298,921,377,5341,3609,1732
GOA,Jharkhand,4621,3339,1282,2092,1536,556,2529,1803,726
GOA,Odisha,5513,3990,1523,1433,1077,356,4080,2913,1167
GOA,Chhattisgarh,1163,697,466,362,214,148,801,483,318
GOA,Madhya Pradesh,3284,1959,1325,569,369,200,2715,1590,1125
GOA,Gujarat,3980,2006,1974,475,233,242,3505,1773,1732
GOA,Daman & Diu,280,127,153,55,24,31,225,103,122
GOA,Dadra & Nagar Haveli,17,11,6,2,2,0,15,9,6
GOA,Maharashtra,82122,37383,44739,24235,10141,14094,57887,27242,30645
GOA,Andhra Pradesh,6811,3463,3348,976,504,472,5835,2959,2876
GOA,Karnataka,148219,73269,74950,33761,16204,17557,114458,57065,57393
GOA,Lakshadweep,29,15,14,8,3,5,21,12,9
GOA,Kerala,10874,5699,5175,1790,957,833,9084,4742,4342
GOA,Tamil Nadu,4863,2608,2255,909,473,436,3954,2135,1819
GOA,Puducherry,62,35,27,4,1,3,58,34,24
GOA,Andaman & Nicobar Islands,73,44,29,14,7,7,59,37,22
GOA,Afganistan,13,12,1,1,1,0,12,11,1
GOA,Bangladesh,48,28,20,6,3,3,42,25,17
GOA,Bhutan,5,4,1,0,0,0,5,4,1
GOA,China,285,275,10,3,2,1,282,273,9
GOA,Indonesia,14,3,11,3,0,3,11,3,8
GOA,Iran,16,9,7,6,5,1,10,4,6
GOA,Iraq,2,0,2,0,0,0,2,0,2
GOA,Japan,8,2,6,3,0,3,5,2,3
GOA,Kuwait,978,457,521,262,131,131,716,326,390
GOA,Malaysia,5,1,4,1,0,1,4,1,3
GOA,Maldives,1,0,1,0,0,0,1,0,1
GOA,Mayanmar,19,11,8,0,0,0,19,11,8
GOA,Nepal,2172,1486,686,523,379,144,1649,1107,542
GOA,Pakistan,396,191,205,85,41,44,311,150,161
GOA,Saudi Arabia,94,47,47,22,10,12,72,37,35
GOA,Singapore,12,4,8,2,1,1,10,3,7
GOA,Sri Lanka,22,9,13,8,2,6,14,7,7
GOA,United Arab Emirates,681,333,348,151,78,73,530,255,275
GOA,Vietnam,1,1,0,0,0,0,1,1,0
GOA,France,18,8,10,2,1,1,16,7,9
GOA,Germany,48,27,21,17,11,6,31,16,15
GOA,Portugal,16,8,8,3,1,2,13,7,6
GOA,UK,266,138,128,101,46,55,165,92,73
GOA,Kenya,433,220,213,101,51,50,332,169,163
GOA,Nigeria,2,0,2,0,0,0,2,0,2
GOA,Uganda,93,41,52,19,7,12,74,34,40
GOA,Zambia,3,1,2,1,0,1,2,1,1
GOA,Canada,8,3,5,3,0,3,5,3,2
GOA,U.S.A.,39,22,17,9,2,7,30,20,10
GOA,Australia,9,5,4,0,0,0,9,5,4
LAKSHADWEEP,Jammu & Kashmir,2,0,2,1,0,1,1,0,1
LAKSHADWEEP,Himachal Pradesh,2,2,0,0,0,0,2,2,0
LAKSHADWEEP,Punjab,1,0,1,0,0,0,1,0,1
LAKSHADWEEP,Chandigarh,2,2,0,0,0,0,2,2,0
LAKSHADWEEP,Uttarakhand,1,1,0,0,0,0,1,1,0
LAKSHADWEEP,Haryana,7,6,1,0,0,0,7,6,1
LAKSHADWEEP,NCT of Delhi,8,5,3,1,1,0,7,4,3
LAKSHADWEEP,Rajasthan,16,11,5,0,0,0,16,11,5
LAKSHADWEEP,Uttar Pradesh,34,22,12,0,0,0,34,22,12
LAKSHADWEEP,Bihar,13,11,2,4,4,0,9,7,2
LAKSHADWEEP,Arunachal Pradesh,3,1,2,0,0,0,3,1,2
LAKSHADWEEP,Mizoram,1,1,0,0,0,0,1,1,0
LAKSHADWEEP,Assam,6,3,3,0,0,0,6,3,3
LAKSHADWEEP,West Bengal,127,122,5,9,9,0,118,113,5
LAKSHADWEEP,Jharkhand,3,2,1,1,1,0,2,1,1
LAKSHADWEEP,Odisha,43,37,6,14,9,5,29,28,1
LAKSHADWEEP,Chhattisgarh,2,2,0,2,2,0,0,0,0
LAKSHADWEEP,Madhya Pradesh,20,18,2,1,1,0,19,17,2
LAKSHADWEEP,Gujarat,17,16,1,0,0,0,17,16,1
LAKSHADWEEP,Daman & Diu,7,7,0,3,3,0,4,4,0
LAKSHADWEEP,Dadra & Nagar Haveli,19,17,2,6,5,1,13,12,1
LAKSHADWEEP,Maharashtra,27,20,7,0,0,0,27,20,7
LAKSHADWEEP,Andhra Pradesh,29,22,7,6,5,1,23,17,6
LAKSHADWEEP,Karnataka,71,33,38,36,14,22,35,19,16
LAKSHADWEEP,Kerala,3127,2102,1025,414,260,154,2713,1842,871
LAKSHADWEEP,Tamil Nadu,351,313,38,144,124,20,207,189,18
LAKSHADWEEP,Puducherry,3,1,2,0,0,0,3,1,2
LAKSHADWEEP,Andaman & Nicobar Islands,6,4,2,0,0,0,6,4,2
LAKSHADWEEP,Nepal,1,0,1,0,0,0,1,0,1
LAKSHADWEEP,Pakistan,15,15,0,0,0,0,15,15,0
LAKSHADWEEP,Sri Lanka,11,10,1,0,0,0,11,10,1
KERALA,Jammu & Kashmir,2315,1401,914,886,514,372,1429,887,542
KERALA,Himachal Pradesh,571,288,283,181,104,77,390,184,206
KERALA,Punjab,2266,1179,1087,914,484,430,1352,695,657
KERALA,Chandigarh,228,116,112,83,43,40,145,73,72
KERALA,Uttarakhand,716,366,350,181,113,68,535,253,282
KERALA,Haryana,1880,961,919,544,309,235,1336,652,684
KERALA,NCT of Delhi,6741,3405,3336,3142,1637,1505,3599,1768,1831
KERALA,Rajasthan,7771,4638,3133,2116,1247,869,5655,3391,2264
KERALA,Uttar Pradesh,11580,7512,4068,3303,2261,1042,8277,5251,3026
KERALA,Bihar,10763,8035,2728,2977,2364,613,7786,5671,2115
KERALA,Sikkim,89,47,42,41,23,18,48,24,24
KERALA,Arunachal Pradesh,407,185,222,247,120,127,160,65,95
KERALA,Nagaland,596,315,281,330,167,163,266,148,118
KERALA,Manipur,615,398,217,203,127,76,412,271,141
KERALA,Mizoram,91,42,49,45,23,22,46,19,27
KERALA,Tripura,131,74,57,76,50,26,55,24,31
KERALA,Meghalaya,238,112,126,109,51,58,129,61,68
KERALA,Assam,8262,7089,1173,4054,3541,513,4208,3548,660
KERALA,West Bengal,31641,27761,3880,13256,12146,1110,18385,15615,2770
KERALA,Jharkhand,2862,1985,877,1280,1013,267,1582,972,610
KERALA,Odisha,12387,9758,2629,4863,3849,1014,7524,5909,1615
KERALA,Chhattisgarh,1720,827,893,615,280,335,1105,547,558
KERALA,Madhya Pradesh,5121,2476,2645,2303,1147,1156,2818,1329,1489
KERALA,Gujarat,5524,2552,2972,1969,933,1036,3555,1619,1936
KERALA,Daman & Diu,11,6,5,2,0,2,9,6,3
KERALA,Dadra & Nagar Haveli,9,2,7,5,2,3,4,0,4
KERALA,Maharashtra,28995,13292,15703,9393,4435,4958,19602,8857,10745
KERALA,Andhra Pradesh,14174,7069,7105,4473,2373,2100,9701,4696,5005
KERALA,Karnataka,101136,41921,59215,58762,23512,35250,42374,18409,23965
KERALA,Goa,1232,546,686,452,203,249,780,343,437
KERALA,Lakshadweep,1837,1106,731,276,177,99,1561,929,632
KERALA,Tamil Nadu,327476,160931,166545,164395,77944,86451,163081,82987,80094
KERALA,Puducherry,25167,11243,13924,4950,2287,2663,20217,8956,11261
KERALA,Andaman & Nicobar Islands,1297,599,698,574,265,309,723,334,389
KERALA,Afganistan,31,31,0,7,7,0,24,24,0
KERALA,Bangladesh,105,70,35,18,10,8,87,60,27
KERALA,Bhutan,38,18,20,16,8,8,22,10,12
KERALA,China,26,11,15,10,8,2,16,3,13
KERALA,Indonesia,27,3,24,13,1,12,14,2,12
KERALA,Iran,30,9,21,8,1,7,22,8,14
KERALA,Iraq,29,17,12,6,4,2,23,13,10
KERALA,Japan,17,3,14,2,1,1,15,2,13
KERALA,Kuwait,2372,1188,1184,963,519,444,1409,669,740
KERALA,Malaysia,1385,554,831,394,164,230,991,390,601
KERALA,Maldives,397,184,213,16,10,6,381,174,207
KERALA,Mayanmar,249,100,149,61,22,39,188,78,110
KERALA,Nepal,2807,1818,989,1071,749,322,1736,1069,667
KERALA,Pakistan,328,148,180,165,72,93,163,76,87
KERALA,Saudi Arabia,6263,3189,3074,3429,1758,1671,2834,1431,1403
KERALA,Singapore,1147,451,696,355,131,224,792,320,472
KERALA,Sri Lanka,5093,2478,2615,4014,2012,2002,1079,466,613
KERALA,United Arab Emirates,12375,6199,6176,4167,2118,2049,8208,4081,4127
KERALA,Kazakstan,3,0,3,0,0,0,3,0,3
KERALA,Vietnam,1,0,1,1,0,1,0,0,0
KERALA,France,39,18,21,20,12,8,19,6,13
KERALA,Germany,193,92,101,84,39,45,109,53,56
KERALA,Portugal,2,0,2,2,0,2,0,0,0
KERALA,UK,440,202,238,263,120,143,177,82,95
KERALA,Kenya,55,28,27,18,11,7,37,17,20
KERALA,Mauritius,4,4,0,1,1,0,3,3,0
KERALA,Nigeria,99,40,59,30,11,19,69,29,40
KERALA,Uganda,10,5,5,2,1,1,8,4,4
KERALA,Zambia,15,2,13,3,0,3,12,2,10
KERALA,Canada,44,28,16,16,7,9,28,21,7
KERALA,U.S.A.,534,246,288,200,82,118,334,164,170
KERALA,Australia,63,34,29,33,18,15,30,16,14
TAMIL NADU,Jammu & Kashmir,4434,2338,2096,1761,944,817,2673,1394,1279
TAMIL NADU,Himachal Pradesh,1029,592,437,220,161,59,809,431,378
TAMIL NADU,Punjab,5503,2940,2563,901,485,416,4602,2455,2147
TAMIL NADU,Chandigarh,626,306,320,156,73,83,470,233,237
TAMIL NADU,Uttarakhand,1113,649,464,149,83,66,964,566,398
TAMIL NADU,Haryana,5581,3199,2382,657,349,308,4924,2850,2074
TAMIL NADU,NCT of Delhi,7364,3578,3786,944,457,487,6420,3121,3299
TAMIL NADU,Rajasthan,98393,55467,42926,4783,2717,2066,93610,52750,40860
TAMIL NADU,Uttar Pradesh,31863,19249,12614,5135,3370,1765,26728,15879,10849
TAMIL NADU,Bihar,36016,23557,12459,8242,5846,2396,27774,17711,10063
TAMIL NADU,Sikkim,197,115,82,62,46,16,135,69,66
TAMIL NADU,Arunachal Pradesh,413,216,197,103,73,30,310,143,167
TAMIL NADU,Nagaland,397,199,198,89,40,49,308,159,149
TAMIL NADU,Manipur,1672,862,810,507,238,269,1165,624,541
TAMIL NADU,Mizoram,200,129,71,38,34,4,162,95,67
TAMIL NADU,Tripura,399,235,164,78,36,42,321,199,122
TAMIL NADU,Meghalaya,408,205,203,125,57,68,283,148,135
TAMIL NADU,Assam,7395,4898,2497,2074,1545,529,5321,3353,1968
TAMIL NADU,West Bengal,30445,18116,12329,3519,2369,1150,26926,15747,11179
TAMIL NADU,Jharkhand,8806,5560,3246,2321,1508,813,6485,4052,2433
TAMIL NADU,Odisha,27293,18165,9128,9509,6642,2867,17784,11523,6261
TAMIL NADU,Chhattisgarh,2073,1078,995,268,146,122,1805,932,873
TAMIL NADU,Madhya Pradesh,10753,5518,5235,1659,896,763,9094,4622,4472
TAMIL NADU,Gujarat,19554,9646,9908,2036,980,1056,17518,8666,8852
TAMIL NADU,Daman & Diu,15,9,6,2,0,2,13,9,4
TAMIL NADU,Dadra & Nagar Haveli,94,43,51,39,17,22,55,26,29
TAMIL NADU,Maharashtra,69160,31539,37621,12984,5542,7442,56176,25997,30179
TAMIL NADU,Andhra Pradesh,330830,134592,196238,86180,23890,62290,244650,110702,133948
TAMIL NADU,Karnataka,302185,106365,195820,116827,32027,84800,185358,74338,111020
TAMIL NADU,Goa,1151,576,575,298,141,157,853,435,418
TAMIL NADU,Lakshadweep,69,44,25,16,8,8,53,36,17
TAMIL NADU,Kerala,581888,246358,335530,97700,37790,59910,484188,208568,275620
TAMIL NADU,Puducherry,292385,122572,169813,169855,69718,100137,122530,52854,69676
TAMIL NADU,Andaman & Nicobar Islands,5371,2292,3079,2494,1092,1402,2877,1200,1677
TAMIL NADU,Afganistan,2,0,2,0,0,0,2,0,2
TAMIL NADU,Bangladesh,317,166,151,47,19,28,270,147,123
TAMIL NADU,Bhutan,117,65,52,51,34,17,66,31,35
TAMIL NADU,China,716,518,198,26,16,10,690,502,188
TAMIL NADU,Indonesia,121,40,81,22,8,14,99,32,67
TAMIL NADU,Iran,25,13,12,0,0,0,25,13,12
TAMIL NADU,Iraq,22,9,13,2,1,1,20,8,12
TAMIL NADU,Japan,100,44,56,15,7,8,85,37,48
TAMIL NADU,Kuwait,581,293,288,87,45,42,494,248,246
TAMIL NADU,Malaysia,9615,3831,5784,4800,1849,2951,4815,1982,2833
TAMIL NADU,Maldives,31,11,20,2,2,0,29,9,20
TAMIL NADU,Mayanmar,29592,14397,15195,3715,1732,1983,25877,12665,13212
TAMIL NADU,Nepal,8156,5215,2941,1868,1217,651,6288,3998,2290
TAMIL NADU,Pakistan,1349,636,713,212,92,120,1137,544,593
TAMIL NADU,Saudi Arabia,960,524,436,161,102,59,799,422,377
TAMIL NADU,Singapore,3531,1345,2186,1511,550,961,2020,795,1225
TAMIL NADU,Sri Lanka,184505,90674,93831,85991,42000,43991,98514,48674,49840
TAMIL NADU,Turkey,3,0,3,0,0,0,3,0,3
TAMIL NADU,United Arab Emirates,1984,1029,955,344,207,137,1640,822,818
TAMIL NADU,Vietnam,84,31,53,15,2,13,69,29,40
TAMIL NADU,France,194,85,109,95,47,48,99,38,61
TAMIL NADU,Germany,195,89,106,75,38,37,120,51,69
TAMIL NADU,Portugal,1,1,0,0,0,0,1,1,0
TAMIL NADU,UK,533,282,251,64,31,33,469,251,218
TAMIL NADU,Kenya,75,42,33,21,12,9,54,30,24
TAMIL NADU,Mauritius,20,5,15,3,1,2,17,4,13
TAMIL NADU,Nigeria,45,33,12,0,0,0,45,33,12
TAMIL NADU,Uganda,16,9,7,1,0,1,15,9,6
TAMIL NADU,Zambia,5,2,3,1,0,1,4,2,2
TAMIL NADU,Canada,166,78,88,16,4,12,150,74,76
TAMIL NADU,U.S.A.,3189,1616,1573,216,115,101,2973,1501,1472
TAMIL NADU,Australia,125,56,69,19,6,13,106,50,56
TAMIL NADU,Fiji,4,3,1,1,1,0,3,2,1
PUDUCHERRY,Jammu & Kashmir,120,69,51,28,17,11,92,52,40
PUDUCHERRY,Himachal Pradesh,29,14,15,4,3,1,25,11,14
PUDUCHERRY,Punjab,147,77,70,18,14,4,129,63,66
PUDUCHERRY,Chandigarh,13,6,7,0,0,0,13,6,7
PUDUCHERRY,Uttarakhand,31,19,12,1,1,0,30,18,12
PUDUCHERRY,Haryana,155,69,86,21,6,15,134,63,71
PUDUCHERRY,NCT of Delhi,414,204,210,33,22,11,381,182,199
PUDUCHERRY,Rajasthan,1583,875,708,59,30,29,1524,845,679
PUDUCHERRY,Uttar Pradesh,1011,563,448,264,151,113,747,412,335
PUDUCHERRY,Bihar,869,496,373,252,141,111,617,355,262
PUDUCHERRY,Sikkim,10,4,6,0,0,0,10,4,6
PUDUCHERRY,Arunachal Pradesh,13,6,7,4,0,4,9,6,3
PUDUCHERRY,Nagaland,16,4,12,4,1,3,12,3,9
PUDUCHERRY,Manipur,36,17,19,2,2,0,34,15,19
PUDUCHERRY,Mizoram,2,2,0,0,0,0,2,2,0
PUDUCHERRY,Tripura,29,18,11,3,1,2,26,17,9
PUDUCHERRY,Meghalaya,18,8,10,1,0,1,17,8,9
PUDUCHERRY,Assam,177,98,79,24,13,11,153,85,68
PUDUCHERRY,West Bengal,1331,686,645,73,33,40,1258,653,605
