AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_LT1yr,Males_LT1yr,Females_LT1yr,Persons_1to4yr,Males_1to4yr,Females_1to4yr,Persons_5to9yr,Males_5to9yr,Females_5to9yr,Persons_10to19yr,Males_10to19yr,Females_10to19yr,Persons_20plusyr,Males_20plusyr,Females_20plusyr,Persons_DurNS,Males_DurNS,Females_DurNS
HIMACHAL PRADESH,Sikkim,844,656,188,27,17,10,466,403,63,114,82,32,107,74,33,106,64,42,24,16,8
HIMACHAL PRADESH,Arunachal Pradesh,1052,597,455,69,35,34,576,331,245,167,110,57,103,50,53,65,43,22,72,28,44
HIMACHAL PRADESH,Nagaland,172,117,55,20,14,6,39,23,16,20,11,9,35,24,11,45,36,9,13,9,4
HIMACHAL PRADESH,Manipur,220,122,98,37,22,15,60,25,35,23,12,11,50,33,17,23,14,9,27,16,11
HIMACHAL PRADESH,Mizoram,77,34,43,11,6,5,31,11,20,11,3,8,5,3,2,12,8,4,7,3,4
HIMACHAL PRADESH,Tripura,131,76,55,9,5,4,19,12,7,36,23,13,29,23,6,27,6,21,11,7,4
HIMACHAL PRADESH,Meghalaya,197,117,80,22,10,12,55,35,20,33,21,12,47,30,17,32,18,14,8,3,5
HIMACHAL PRADESH,Assam,2134,1303,831,280,206,74,697,433,264,366,205,161,318,184,134,328,176,152,145,99,46
HIMACHAL PRADESH,West Bengal,5897,3573,2324,936,685,251,1944,1172,772,901,536,365,957,557,400,736,341,395,423,282,141
HIMACHAL PRADESH,Jharkhand,10645,7138,3507,2513,1807,706,3877,2684,1193,1779,1147,632,1502,879,623,461,287,174,513,334,179
HIMACHAL PRADESH,Odisha,3295,2263,1032,392,263,129,1333,961,372,627,458,169,489,317,172,297,174,123,157,90,67
HIMACHAL PRADESH,Chhattisgarh,5008,2725,2283,1722,959,763,1579,865,714,691,360,331,514,285,229,209,95,114,293,161,132
HIMACHAL PRADESH,Madhya Pradesh,6509,4342,2167,1079,710,369,2074,1439,635,1138,737,401,954,600,354,917,621,296,347,235,112
HIMACHAL PRADESH,Gujarat,1578,937,641,316,207,109,522,302,220,247,136,111,212,117,95,194,113,81,87,62,25
HIMACHAL PRADESH,Daman & Diu,31,15,16,2,1,1,14,8,6,9,4,5,2,1,1,4,1,3,0,0,0
HIMACHAL PRADESH,Dadra & Nagar Haveli,8,5,3,0,0,0,5,3,2,2,2,0,1,0,1,0,0,0,0,0,0
HIMACHAL PRADESH,Maharashtra,5752,3465,2287,803,538,265,1614,897,717,909,546,363,985,598,387,1093,664,429,348,222,126
HIMACHAL PRADESH,Andhra Pradesh,1933,1317,616,234,135,99,647,408,239,497,382,115,243,164,79,229,178,51,83,50,33
HIMACHAL PRADESH,Karnataka,1538,918,620,178,112,66,520,296,224,276,162,114,247,151,96,228,150,78,89,47,42
HIMACHAL PRADESH,Goa,111,75,36,31,25,6,34,23,11,12,7,5,13,6,7,9,6,3,12,8,4
HIMACHAL PRADESH,Lakshadweep,102,60,42,0,0,0,9,3,6,5,0,5,5,2,3,8,2,6,75,53,22
HIMACHAL PRADESH,Kerala,775,443,332,118,65,53,247,138,109,95,60,35,146,82,64,120,70,50,49,28,21
