AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_LT1yr,Males_LT1yr,Females_LT1yr,Persons_1to4yr,Males_1to4yr,Females_1to4yr,Persons_5to9yr,Males_5to9yr,Females_5to9yr,Persons_10to19yr,Males_10to19yr,Females_10to19yr,Persons_20plusyr,Males_20plusyr,Females_20plusyr,Persons_DurNS,Males_DurNS,Females_DurNS
HARYANA,Goa,571,283,288,84,44,40,214,99,115,108,53,55,81,42,39,44,19,25,40,26,14
HARYANA,Lakshadweep,230,130,100,5,3,2,15,5,10,16,6,10,9,6,3,11,6,5,174,104,70
HARYANA,Kerala,8302,3889,4413,740,294,446,1927,813,1114,1297,595,702,1633,780,853,1919,1013,906,786,394,392
HARYANA,Tamil Nadu,7724,3841,3883,966,446,520,2843,1392,1451,1181,587,594,981,465,516,1156,616,540,597,335,262
HARYANA,Puducherry,233,85,148,24,12,12,51,15,36,29,6,23,32,15,17,58,14,44,39,23,16
HARYANA,Andaman & Nicobar Islands,199,89,110,12,6,6,92,41,51,35,16,19,31,14,17,18,7,11,11,5,6
NCT OF DELHI,Jammu & Kashmir,40146,20309,19837,2348,1295,1053,7958,4159,3799,5572,2724,2848,8753,4301,4452,13650,6838,6812,1865,992,873
NCT OF DELHI,Himachal Pradesh,79272,41257,38015,2175,1029,1146,10087,4913,5174,10577,5165,5412,18394,9284,9110,34285,18884,15401,3754,1982,1772
NCT OF DELHI,Punjab,247966,116406,131560,5119,2289,2830,21948,8799,13149,22368,9125,13243,42087,17847,24240,145273,73008,72265,11171,5338,5833
NCT OF DELHI,Chandigarh,8328,3624,4704,435,212,223,1811,753,1058,1496,652,844,1732,716,1016,2389,1092,1297,465,199,266
NCT OF DELHI,Uttarakhand,294704,154496,140208,8890,4318,4572,41110,19963,21147,47456,23953,23503,78273,40453,37820,106728,59328,47400,12247,6481,5766
NCT OF DELHI,Haryana,666331,270637,395694,17537,7344,10193,79497,29681,49816,90167,34734,55433,157545,62700,94845,292580,123711,168869,29005,12467,16538
NCT OF DELHI,Rajasthan,315238,160065,155173,9798,4942,4856,43129,20408,22721,44816,21788,23028,75923,38030,37893,127320,67778,59542,14252,7119,7133
NCT OF DELHI,Uttar Pradesh,2854297,1516023,1338274,99680,52568,47112,409836,203902,205934,459044,235319,223725,793492,418490,375002,975285,545544,429741,116960,60200,56760
NCT OF DELHI,Bihar,1106629,663236,443393,54234,33034,21200,222477,129162,93315,245034,143109,101925,350051,210031,140020,193556,123960,69596,41277,23940,17337
NCT OF DELHI,Sikkim,995,508,487,92,52,40,289,144,145,203,101,102,180,82,98,182,102,80,49,27,22
NCT OF DELHI,Arunachal Pradesh,1404,753,651,149,77,72,510,288,222,287,138,149,235,118,117,174,102,72,49,30,19
NCT OF DELHI,Nagaland,1921,1027,894,203,130,73,674,346,328,383,184,199,344,184,160,221,130,91,96,53,43
NCT OF DELHI,Manipur,6164,3110,3054,500,270,230,2349,1157,1192,1366,659,707,1179,610,569,492,277,215,278,137,141
NCT OF DELHI,Mizoram,678,304,374,50,24,26,274,120,154,161,75,86,96,41,55,60,27,33,37,17,20
NCT OF DELHI,Tripura,1490,824,666,93,50,43,443,243,200,357,201,156,311,173,138,240,135,105,46,22,24
NCT OF DELHI,Meghalaya,2569,1270,1299,162,82,80,699,354,345,543,259,284,549,259,290,507,257,250,109,59,50
NCT OF DELHI,Assam,26233,13433,12800,1819,986,833,7735,3892,3843,5229,2615,2614,5782,2937,2845,4527,2418,2109,1141,585,556
NCT OF DELHI,West Bengal,182356,93548,88808,9707,5311,4396,35773,17758,18015,35136,17829,17307,48806,25075,23731,45782,23943,21839,7152,3632,3520
NCT OF DELHI,Jharkhand,69196,37176,32020,4064,2174,1890,17463,8835,8628,16287,8691,7596,18901,10604,8297,9718,5456,4262,2763,1416,1347
NCT OF DELHI,Odisha,41162,22728,18434,2173,1095,1078,10333,5253,5080,9335,5028,4307,10659,6179,4480,6754,4083,2671,1908,1090,818
NCT OF DELHI,Chhattisgarh,12634,6144,6490,893,433,460,2927,1354,1573,2231,1073,1158,2910,1408,1502,3071,1583,1488,602,293,309
NCT OF DELHI,Madhya Pradesh,134867,67995,66872,7864,4073,3791,25573,12378,13195,23618,11810,11808,33409,16805,16604,38390,19852,18538,6013,3077,2936
NCT OF DELHI,Gujarat,24153,11200,12953,1171,547,624,4882,2203,2679,3860,1754,2106,4929,2196,2733,8097,3919,4178,1214,581,633
NCT OF DELHI,Daman & Diu,38,18,20,1,1,0,20,10,10,8,3,5,6,3,3,2,1,1,1,0,1
NCT OF DELHI,Dadra & Nagar Haveli,91,44,47,3,1,2,25,16,9,19,8,11,23,13,10,12,5,7,9,1,8
NCT OF DELHI,Maharashtra,63692,29201,34491,3919,1916,2003,14356,6599,7757,9829,4437,5392,13110,5821,7289,18956,8740,10216,3522,1688,1834
NCT OF DELHI,Andhra Pradesh,23436,11407,12029,1667,802,865,6132,2942,3190,3843,1840,2003,4765,2250,2515,5674,2844,2830,1355,729,626
NCT OF DELHI,Karnataka,15386,7560,7826,1187,603,584,4611,2257,2354,2433,1177,1256,2812,1332,1480,3534,1764,1770,809,427,382
NCT OF DELHI,Goa,1193,569,624,76,40,36,321,165,156,190,85,105,245,104,141,308,151,157,53,24,29
NCT OF DELHI,Lakshadweep,123,65,58,17,7,10,36,21,15,29,16,13,20,13,7,14,7,7,7,1,6
NCT OF DELHI,Kerala,60297,29551,30746,2407,1099,1308,10198,4537,5661,9098,4272,4826,16146,7582,8564,19409,10458,8951,3039,1603,1436
NCT OF DELHI,Tamil Nadu,45862,22927,22935,2043,1149,894,7564,3862,3702,5793,2767,3026,10336,4838,5498,18029,9207,8822,2097,1104,993
NCT OF DELHI,Puducherry,537,242,295,36,14,22,115,57,58,95,38,57,109,43,66,151,73,78,31,17,14
NCT OF DELHI,Andaman & Nicobar Islands,677,335,342,59,33,26,235,101,134,115,60,55,144,76,68,99,53,46,25,12,13
RAJASTHAN,Jammu & Kashmir,19100,11012,8088,1523,789,734,4351,1985,2366,897,456,441,1061,505,556,1384,630,754,9884,6647,3237
RAJASTHAN,Himachal Pradesh,11325,5938,5387,902,453,449,2394,971,1423,760,347,413,1212,535,677,2136,1073,1063,3921,2559,1362
RAJASTHAN,Punjab,213308,75933,137375,9792,4440,5352,25672,8154,17518,21716,6213,15503,43811,13409,30402,100794,38417,62377,11523,5300,6223
RAJASTHAN,Chandigarh,1961,870,1091,232,127,105,658,281,377,283,115,168,307,125,182,349,154,195,132,68,64
RAJASTHAN,Uttarakhand,23233,10771,12462,1870,847,1023,5135,2171,2964,2945,1330,1615,4619,2089,2530,6929,3362,3567,1735,972,763
RAJASTHAN,Haryana,533963,87958,446005,22049,8031,14018,79323,16367,62956,73757,12356,61401,122957,18404,104553,215039,25999,189040,20838,6801,14037
RAJASTHAN,NCT of Delhi,83134,29316,53818,7876,4562,3314,17964,6830,11134,13151,4434,8717,17502,5490,12012,21159,5608,15551,5482,2392,3090
RAJASTHAN,Uttar Pradesh,585982,185582,400400,56665,29189,27476,101975,35094,66881,81638,25510,56128,123652,35648,88004,190415,46839,143576,31637,13302,18335
RAJASTHAN,Bihar,134402,75805,58597,14721,9476,5245,34728,19703,15025,24806,13630,11176,31364,17108,14256,20012,10913,9099,8771,4975,3796
RAJASTHAN,Sikkim,327,181,146,43,24,19,135,70,65,32,22,10,54,31,23,40,18,22,23,16,7
RAJASTHAN,Arunachal Pradesh,369,195,174,64,42,22,151,72,79,43,18,25,55,30,25,28,16,12,28,17,11
RAJASTHAN,Nagaland,789,360,429,86,62,24,246,120,126,92,35,57,164,71,93,129,34,95,72,38,34
RAJASTHAN,Manipur,753,350,403,92,52,40,273,103,170,105,56,49,135,74,61,83,36,47,65,29,36
RAJASTHAN,Mizoram,363,275,88,43,23,20,260,230,30,29,6,23,9,4,5,9,5,4,13,7,6
RAJASTHAN,Tripura,717,276,441,67,30,37,397,130,267,76,24,52,87,35,52,51,32,19,39,25,14
RAJASTHAN,Meghalaya,1226,839,387,84,52,32,776,620,156,97,36,61,130,62,68,86,45,41,53,24,29
RAJASTHAN,Assam,12936,5316,7620,1644,934,710,3522,1416,2106,1715,600,1115,2613,925,1688,2494,941,1553,948,500,448
RAJASTHAN,West Bengal,67695,33216,34479,5906,3400,2506,16149,7698,8451,12443,6140,6303,16151,7859,8292,11946,5323,6623,5100,2796,2304
RAJASTHAN,Jharkhand,13183,6519,6664,2279,1518,761,3916,1856,2060,2107,941,1166,2550,1141,1409,1461,593,868,870,470,400
RAJASTHAN,Odisha,12991,6296,6695,1358,723,635,3415,1563,1852,2114,1018,1096,2813,1355,1458,2380,1150,1230,911,487,424
RAJASTHAN,Chhattisgarh,7266,3267,3999,2628,1434,1194,1721,744,977,764,295,469,827,297,530,852,252,600,474,245,229
RAJASTHAN,Madhya Pradesh,554058,126208,427850,33603,14554,19049,91766,24042,67724,83117,19677,63440,125131,25831,99300,193731,31729,162002,26710,10375,16335
RAJASTHAN,Gujarat,200767,52496,148271,19787,12810,6977,31274,8919,22355,27664,6437,21227,43073,8853,34220,65435,10117,55318,13534,5360,8174
RAJASTHAN,Daman & Diu,72,52,20,34,30,4,15,8,7,9,3,6,6,4,2,3,3,0,5,4,1
RAJASTHAN,Dadra & Nagar Haveli,127,55,72,26,20,6,24,10,14,21,6,15,16,4,12,25,3,22,15,12,3
RAJASTHAN,Maharashtra,73366,32350,41016,13910,10254,3656,15652,6024,9628,10038,3399,6639,13554,4642,8912,14274,5022,9252,5938,3009,2929
RAJASTHAN,Andhra Pradesh,12193,5545,6648,2691,1562,1129,3701,1544,2157,1359,515,844,1558,633,925,1756,654,1102,1128,637,491
RAJASTHAN,Karnataka,11697,5229,6468,2713,1751,962,3110,1258,1852,1594,527,1067,1811,635,1176,1467,540,927,1002,518,484
RAJASTHAN,Goa,555,309,246,162,126,36,135,63,72,63,29,34,84,32,52,60,24,36,51,35,16
RAJASTHAN,Lakshadweep,961,572,389,13,7,6,37,12,25,18,5,13,30,9,21,42,11,31,821,528,293
RAJASTHAN,Kerala,16128,7217,8911,851,361,490,2500,1004,1496,1676,706,970,3431,1530,1901,6220,2829,3391,1450,787,663
RAJASTHAN,Tamil Nadu,9042,4524,4518,2141,1276,865,2465,1126,1339,893,406,487,1170,512,658,1389,628,761,984,576,408
RAJASTHAN,Puducherry,114,37,77,10,5,5,30,10,20,7,2,5,16,1,15,40,13,27,11,6,5
RAJASTHAN,Andaman & Nicobar Islands,195,86,109,28,17,11,83,34,49,28,11,17,17,8,9,17,4,13,22,12,10
UTTAR PRADESH,Jammu & Kashmir,33008,18048,14960,1837,1009,828,6024,3096,2928,3362,1574,1788,3600,1602,1998,2967,1136,1831,15218,9631,5587
UTTAR PRADESH,Himachal Pradesh,21072,9690,11382,1293,666,627,3651,1618,2033,2427,958,1469,3420,1306,2114,4249,1628,2621,6032,3514,2518
UTTAR PRADESH,Punjab,142235,61432,80803,6631,3241,3390,18475,7226,11249,14242,5373,8869,21893,8031,13862,65074,29874,35200,15920,7687,8233
UTTAR PRADESH,Chandigarh,6028,2191,3837,578,315,263,1736,625,1111,951,310,641,972,297,675,918,269,649,873,375,498
UTTAR PRADESH,Uttarakhand,393540,97329,296211,14462,5072,9390,61131,16545,44586,60377,15402,44975,97941,22866,75075,121163,24045,97118,38466,13399,25067
UTTAR PRADESH,Haryana,230740,46188,184552,10465,3861,6604,37492,10237,27255,31908,6945,24963,46746,7454,39292,80870,10601,70269,23259,7090,16169
UTTAR PRADESH,NCT of Delhi,566210,228629,337581,33610,16010,17600,128546,54442,74104,115440,49571,65869,128488,51941,76547,80548,23043,57505,79578,33622,45956
UTTAR PRADESH,Rajasthan,284056,50896,233160,11276,4247,7029,40088,9870,30218,34484,6858,27626,59718,9306,50412,99098,10979,88119,39392,9636,29756
UTTAR PRADESH,Bihar,1072739,293268,779471,66017,33246,32771,152951,56874,96077,151172,45807,105365,249210,60325,188885,327476,53951,273525,125913,43065,82848
UTTAR PRADESH,Sikkim,476,207,269,48,21,27,119,56,63,118,55,63,82,33,49,54,16,38,55,26,29
UTTAR PRADESH,Arunachal Pradesh,931,421,510,100,46,54,255,119,136,173,76,97,146,57,89,120,45,75,137,78,59
UTTAR PRADESH,Nagaland,868,368,500,98,43,55,268,126,142,110,47,63,134,44,90,129,35,94,129,73,56
UTTAR PRADESH,Manipur,1260,825,435,191,135,56,491,349,142,129,68,61,93,41,52,75,30,45,281,202,79
UTTAR PRADESH,Mizoram,281,106,175,45,24,21,63,29,34,26,8,18,54,17,37,55,12,43,38,16,22
UTTAR PRADESH,Tripura,698,329,369,31,15,16,159,82,77,112,59,53,172,81,91,121,42,79,103,50,53
UTTAR PRADESH,Meghalaya,1125,516,609,113,53,60,334,153,181,201,74,127,163,88,75,160,60,100,154,88,66
UTTAR PRADESH,Assam,30157,11041,19116,2502,1265,1237,7816,3718,4098,4788,1918,2870,5742,1598,4144,5588,937,4651,3721,1605,2116
UTTAR PRADESH,West Bengal,234042,55777,178265,11421,5271,6150,31386,11025,20361,29727,8044,21683,55596,10534,45062,81412,12421,68991,24500,8482,16018
UTTAR PRADESH,Jharkhand,110358,36993,73365,15453,7934,7519,19583,7340,12243,15232,4452,10780,23156,6232,16924,24801,5873,18928,12133,5162,6971
UTTAR PRADESH,Odisha,35269,10969,24300,4479,2173,2306,7472,2573,4899,5989,1648,4341,8032,1685,6347,5283,1179,4104,4014,1711,2303
UTTAR PRADESH,Chhattisgarh,56676,20992,35684,19978,10392,9586,7543,2692,4851,5166,1353,3813,7586,1744,5842,9023,1251,7772,7380,3560,3820
UTTAR PRADESH,Madhya Pradesh,668537,81678,586859,23186,8307,14879,88183,15039,73144,89066,11882,77184,156825,15462,141363,248894,17398,231496,62383,13590,48793
UTTAR PRADESH,Gujarat,25459,9295,16164,2578,1537,1041,5636,2266,3370,3921,1313,2608,4608,1292,3316,4763,1081,3682,3953,1806,2147
UTTAR PRADESH,Daman & Diu,34,16,18,11,8,3,5,3,2,6,3,3,6,0,6,1,0,1,5,2,3
UTTAR PRADESH,Dadra & Nagar Haveli,375,121,254,13,5,8,67,25,42,42,18,24,59,14,45,97,13,84,97,46,51
UTTAR PRADESH,Maharashtra,88310,27856,60454,7865,4613,3252,17872,6452,11420,12890,3613,9277,17727,4082,13645,18334,3376,14958,13622,5720,7902
UTTAR PRADESH,Andhra Pradesh,16060,6871,9189,1722,895,827,4816,2276,2540,2154,837,1317,2180,750,1430,2407,671,1736,2781,1442,1339
UTTAR PRADESH,Karnataka,10455,4502,5953,1349,683,666,3463,1679,1784,1407,584,823,1414,450,964,1322,357,965,1500,749,751
UTTAR PRADESH,Goa,929,382,547,81,54,27,237,92,145,139,49,90,177,70,107,140,47,93,155,70,85
UTTAR PRADESH,Lakshadweep,2812,1533,1279,48,19,29,164,56,108,139,40,99,212,66,146,300,58,242,1949,1294,655
UTTAR PRADESH,Kerala,17106,7392,9714,1054,444,610,4035,1702,2333,2445,1003,1442,3468,1503,1965,3322,1428,1894,2782,1312,1470
UTTAR PRADESH,Tamil Nadu,9458,4498,4960,959,455,504,2965,1489,1476,1395,705,690,1439,635,804,1253,466,787,1447,748,699
UTTAR PRADESH,Puducherry,206,91,115,8,5,3,55,25,30,29,11,18,32,9,23,62,28,34,20,13,7
UTTAR PRADESH,Andaman & Nicobar Islands,423,181,242,29,11,18,138,60,78,54,28,26,63,20,43,75,30,45,64,32,32
BIHAR,Jammu & Kashmir,15594,8763,6831,470,310,160,661,185,476,652,176,476,924,177,747,1234,227,1007,11653,7688,3965
BIHAR,Himachal Pradesh,8883,4756,4127,275,176,99,489,120,369,401,89,312,648,110,538,850,141,709,6220,4120,2100
BIHAR,Punjab,7994,4329,3665,2503,2137,366,1488,606,882,1040,293,747,1025,233,792,764,248,516,1174,812,362
BIHAR,Chandigarh,404,199,205,99,82,17,61,21,40,48,9,39,73,13,60,25,4,21,98,70,28
BIHAR,Uttarakhand,1144,425,719,185,123,62,269,94,175,170,51,119,199,46,153,182,39,143,139,72,67
BIHAR,Haryana,3902,2227,1675,1293,1092,201,717,308,409,394,114,280,447,134,313,519,272,247,532,307,225
BIHAR,NCT of Delhi,23412,11463,11949,7249,6043,1206,4852,1696,3156,3463,849,2614,3036,550,2486,1364,324,1040,3448,2001,1447
BIHAR,Rajasthan,8358,3588,4770,797,588,209,991,384,607,797,234,563,1168,321,847,3593,1542,2051,1012,519,493
BIHAR,Uttar Pradesh,319887,31613,288274,8447,3140,5307,35690,4723,30967,39640,3806,35834,72478,5535,66943,142338,9206,133132,21294,5203,16091
BIHAR,Sikkim,368,108,260,65,44,21,85,14,71,57,7,50,83,18,65,41,6,35,37,19,18
BIHAR,Arunachal Pradesh,395,161,234,54,39,15,92,29,63,85,34,51,84,27,57,49,13,36,31,19,12
BIHAR,Nagaland,797,243,554,77,63,14,121,41,80,126,37,89,185,37,148,183,18,165,105,47,58
BIHAR,Manipur,326,114,212,48,24,24,77,26,51,65,27,38,55,13,42,44,4,40,37,20,17
BIHAR,Mizoram,45,21,24,6,6,0,14,3,11,7,4,3,7,3,4,2,1,1,9,4,5
BIHAR,Tripura,185,79,106,14,10,4,35,21,14,30,16,14,36,9,27,47,13,34,23,10,13
BIHAR,Meghalaya,370,156,214,51,41,10,61,23,38,68,32,36,68,18,50,68,13,55,54,29,25
BIHAR,Assam,15221,2922,12299,1433,898,535,2005,475,1530,2016,319,1697,3674,413,3261,4857,396,4461,1236,421,815
BIHAR,West Bengal,227809,31534,196275,10090,5071,5019,27042,3521,23521,30929,3328,27601,55302,5289,50013,87462,9832,77630,16984,4493,12491
BIHAR,Jharkhand,433696,45818,387878,12899,4557,8342,54957,6476,48481,61252,6202,55050,109676,9391,100285,153505,10803,142702,41407,8389,33018
BIHAR,Odisha,6014,1445,4569,535,326,209,1206,324,882,980,185,795,1217,183,1034,1403,187,1216,673,240,433
BIHAR,Chhattisgarh,2655,593,2062,283,183,100,543,136,407,437,54,383,544,56,488,565,55,510,283,109,174
BIHAR,Madhya Pradesh,6067,1434,4633,597,382,215,1028,275,753,919,160,759,1299,161,1138,1476,169,1307,748,287,461
BIHAR,Gujarat,4149,2262,1887,1303,1132,171,802,356,446,501,131,370,534,146,388,414,136,278,595,361,234
BIHAR,Daman & Diu,23,15,8,4,4,0,2,2,0,3,2,1,1,1,0,1,0,1,12,6,6
BIHAR,Dadra & Nagar Haveli,654,83,571,26,18,8,76,11,65,84,5,79,147,8,139,253,18,235,68,23,45
BIHAR,Maharashtra,13544,5723,7821,3407,2897,510,2476,807,1669,2040,434,1606,2122,379,1743,1742,254,1488,1757,952,805
BIHAR,Andhra Pradesh,1760,716,1044,356,255,101,459,180,279,258,68,190,266,59,207,178,46,132,243,108,135
BIHAR,Karnataka,1923,805,1118,468,357,111,457,173,284,286,43,243,266,52,214,203,51,152,243,129,114
BIHAR,Goa,213,78,135,40,32,8,48,14,34,25,3,22,40,8,32,29,1,28,31,20,11
BIHAR,Lakshadweep,3249,1418,1831,47,15,32,188,34,154,230,40,190,352,59,293,552,72,480,1880,1198,682
BIHAR,Kerala,1432,527,905,122,59,63,309,121,188,213,74,139,313,108,205,296,98,198,179,67,112
BIHAR,Tamil Nadu,1293,640,653,341,266,75,292,117,175,179,64,115,230,75,155,100,32,68,151,86,65
BIHAR,Puducherry,150,47,103,14,14,0,23,9,14,22,2,20,18,3,15,44,4,40,29,15,14
BIHAR,Andaman & Nicobar Islands,38,23,15,6,3,3,10,5,5,6,5,1,5,4,1,5,2,3,6,4,2
SIKKIM,Jammu & Kashmir,974,775,199,493,472,21,175,116,59,29,12,17,123,73,50,35,19,16,119,83,36
SIKKIM,Himachal Pradesh,431,265,166,91,69,22,208,126,82,20,8,12,60,33,27,20,10,10,32,19,13
SIKKIM,Punjab,319,251,68,89,71,18,135,116,19,12,6,6,16,8,8,23,11,12,44,39,5
SIKKIM,Chandigarh,36,21,15,10,8,2,19,10,9,0,0,0,1,0,1,4,2,2,2,1,1
SIKKIM,Uttarakhand,359,227,132,81,53,28,150,94,56,23,10,13,21,11,10,47,27,20,37,32,5
SIKKIM,Haryana,661,377,284,54,37,17,122,67,55,56,24,32,72,33,39,319,182,137,38,34,4
SIKKIM,NCT of Delhi,481,286,195,96,67,29,163,96,67,82,42,40,59,34,25,48,24,24,33,23,10
SIKKIM,Rajasthan,675,383,292,66,37,29,148,81,67,66,38,28,116,58,58,224,126,98,55,43,12
SIKKIM,Uttar Pradesh,2280,1308,972,327,219,108,608,364,244,237,116,121,351,174,177,582,317,265,175,118,57
SIKKIM,Bihar,13282,8027,5255,946,694,252,2738,1655,1083,2163,1214,949,3073,1722,1351,3621,2328,1293,741,414,327
SIKKIM,Arunachal Pradesh,515,305,210,52,35,17,307,195,112,69,36,33,51,23,28,19,8,11,17,8,9
SIKKIM,Nagaland,225,97,128,24,13,11,73,32,41,35,13,22,53,19,34,29,15,14,11,5,6
SIKKIM,Manipur,732,354,378,91,45,46,239,118,121,127,69,58,146,62,84,94,43,51,35,17,18
SIKKIM,Mizoram,53,25,28,9,7,2,25,10,15,6,3,3,5,1,4,7,3,4,1,1,0
SIKKIM,Tripura,92,52,40,24,16,8,38,18,20,14,7,7,4,2,2,5,4,1,7,5,2
SIKKIM,Meghalaya,356,175,181,59,42,17,90,35,55,42,21,21,80,35,45,61,24,37,24,18,6
SIKKIM,Assam,2621,1485,1136,530,431,99,804,483,321,356,167,189,429,195,234,364,151,213,138,58,80
SIKKIM,West Bengal,33158,14500,18658,3733,2402,1331,7885,3583,4302,5072,2108,2964,6310,2500,3810,8416,3166,5250,1742,741,1001
SIKKIM,Jharkhand,1267,1083,184,530,500,30,519,450,69,65,35,30,38,17,21,62,38,24,53,43,10
SIKKIM,Odisha,602,431,171,121,101,20,271,191,80,96,64,32,51,31,20,33,23,10,30,21,9
SIKKIM,Chhattisgarh,53,29,24,14,11,3,28,12,16,3,2,1,1,0,1,2,0,2,5,4,1
SIKKIM,Madhya Pradesh,459,350,109,176,158,18,186,129,57,32,20,12,24,13,11,12,7,5,29,23,6
SIKKIM,Gujarat,110,68,42,19,16,3,64,37,27,6,2,4,3,0,3,2,2,0,16,11,5
SIKKIM,Daman & Diu,27,22,5,1,1,0,24,19,5,1,1,0,0,0,0,1,1,0,0,0,0
SIKKIM,Dadra & Nagar Haveli,4,2,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0
SIKKIM,Maharashtra,277,162,115,65,42,23,117,64,53,26,13,13,15,8,7,15,7,8,39,28,11
SIKKIM,Andhra Pradesh,423,316,107,125,106,19,198,143,55,21,12,9,22,11,11,11,10,1,46,34,12
SIKKIM,Karnataka,191,125,66,43,30,13,96,65,31,19,11,8,9,4,5,9,4,5,15,11,4
SIKKIM,Goa,29,17,12,6,5,1,22,11,11,1,1,0,0,0,0,0,0,0,0,0,0
SIKKIM,Lakshadweep,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
SIKKIM,Kerala,227,130,97,27,23,4,90,43,47,17,7,10,23,11,12,50,30,20,20,16,4
SIKKIM,Tamil Nadu,156,114,42,52,41,11,43,29,14,17,8,9,14,11,3,7,6,1,23,19,4
SIKKIM,Puducherry,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
SIKKIM,Andaman & Nicobar Islands,84,67,17,48,48,0,11,5,6,20,9,11,3,3,0,1,1,0,1,1,0
ARUNACHAL PRADESH,Jammu & Kashmir,369,231,138,57,39,18,146,88,58,25,12,13,26,13,13,14,10,4,101,69,32
ARUNACHAL PRADESH,Himachal Pradesh,305,191,114,68,30,38,90,50,40,17,9,8,22,15,7,30,19,11,78,68,10
ARUNACHAL PRADESH,Punjab,395,217,178,53,17,36,159,68,91,24,12,12,25,17,8,43,28,15,91,75,16
ARUNACHAL PRADESH,Chandigarh,11,5,6,1,0,1,4,3,1,2,1,1,1,0,1,0,0,0,3,1,2
ARUNACHAL PRADESH,Uttarakhand,450,252,198,56,28,28,162,69,93,28,14,14,37,17,20,44,29,15,123,95,28
ARUNACHAL PRADESH,Haryana,527,318,209,37,23,14,146,73,73,63,37,26,97,50,47,115,78,37,69,57,12
ARUNACHAL PRADESH,NCT of Delhi,311,175,136,39,20,19,159,82,77,50,30,20,29,20,9,16,11,5,18,12,6
ARUNACHAL PRADESH,Rajasthan,1498,1014,484,99,68,31,412,260,152,236,150,86,347,224,123,244,192,52,160,120,40
ARUNACHAL PRADESH,Uttar Pradesh,6054,3605,2449,614,456,158,1212,642,570,948,518,430,1413,797,616,1275,828,447,592,364,228
ARUNACHAL PRADESH,Bihar,18811,11703,7108,842,568,274,3430,2051,1379,3499,2050,1449,5323,3181,2142,4518,3139,1379,1199,714,485
ARUNACHAL PRADESH,Sikkim,234,139,95,17,14,3,42,24,18,28,17,11,42,27,15,94,50,44,11,7,4
ARUNACHAL PRADESH,Nagaland,1218,659,559,86,44,42,433,230,203,268,145,123,243,136,107,146,85,61,42,19,23
ARUNACHAL PRADESH,Manipur,1465,778,687,155,80,75,503,240,263,242,133,109,270,151,119,192,117,75,103,57,46
ARUNACHAL PRADESH,Mizoram,298,155,143,31,17,14,133,65,68,61,35,26,25,11,14,32,20,12,16,7,9
ARUNACHAL PRADESH,Tripura,855,503,352,50,33,17,182,108,74,128,72,56,201,119,82,250,154,96,44,17,27
ARUNACHAL PRADESH,Meghalaya,1143,595,548,69,44,25,244,128,116,163,76,87,207,103,104,402,212,190,58,32,26
ARUNACHAL PRADESH,Assam,88963,47424,41539,8516,6081,2435,19030,10140,8890,14953,7446,7507,21115,10446,10669,20513,10818,9695,4836,2493,2343
ARUNACHAL PRADESH,West Bengal,6966,4210,2756,764,561,203,1293,779,514,1040,554,486,1799,1047,752,1641,1036,605,429,233,196
ARUNACHAL PRADESH,Jharkhand,1308,899,409,257,204,53,240,157,83,138,83,55,222,140,82,323,218,105,128,97,31
ARUNACHAL PRADESH,Odisha,1613,1018,595,123,68,55,386,238,148,265,152,113,328,212,116,303,225,78,208,123,85
ARUNACHAL PRADESH,Chhattisgarh,138,73,65,18,9,9,32,13,19,8,4,4,17,8,9,49,30,19,14,9,5
ARUNACHAL PRADESH,Madhya Pradesh,252,127,125,29,12,17,104,49,55,16,9,7,23,9,14,32,20,12,48,28,20
ARUNACHAL PRADESH,Gujarat,94,45,49,11,5,6,58,23,35,5,4,1,3,1,2,3,2,1,14,10,4
ARUNACHAL PRADESH,Dadra & Nagar Haveli,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,Maharashtra,421,229,192,62,37,25,200,91,109,29,14,15,24,17,7,11,9,2,95,61,34
ARUNACHAL PRADESH,Andhra Pradesh,383,213,170,43,32,11,105,46,59,27,15,12,68,34,34,71,45,26,69,41,28
ARUNACHAL PRADESH,Karnataka,191,123,68,46,26,20,70,44,26,24,18,6,21,16,5,2,2,0,28,17,11
ARUNACHAL PRADESH,Goa,22,15,7,5,3,2,14,9,5,1,1,0,2,2,0,0,0,0,0,0,0
ARUNACHAL PRADESH,Lakshadweep,4,2,2,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0
ARUNACHAL PRADESH,Kerala,1397,775,622,63,38,25,294,142,152,217,127,90,327,149,178,349,231,118,147,88,59
ARUNACHAL PRADESH,Tamil Nadu,305,207,98,35,26,9,126,76,50,35,23,12,42,29,13,19,12,7,48,41,7
ARUNACHAL PRADESH,Puducherry,6,3,3,1,1,0,2,1,1,0,0,0,1,1,0,0,0,0,2,0,2
ARUNACHAL PRADESH,Andaman & Nicobar Islands,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
