AreaName,Females_Total,LastResidence,Males_Total,Persons_Business,Persons_Education,Persons_Marriage,Persons_MoveAfterBirth,Persons_MoveWithHH,Persons_Other,Persons_Total,Persons_Work,Males_Business,Males_Education,Males_Marriage,Males_MoveAfterBirth,Males_MoveWithHH,Males_Other,Males_Work,Females_Business,Females_Education,Females_Marriage,Females_MoveAfterBirth,Females_MoveWithHH,Females_Other,Females_Work
HIMACHAL PRADESH,641,Gujarat,937,16,30,129,82,579,340,1578,402,11,17,3,46,212,267,381,5,13,126,36,367,73,21
HIMACHAL PRADESH,16,Daman & Diu,15,0,1,0,0,19,0,31,11,0,0,0,0,4,0,11,0,1,0,0,15,0,0
HIMACHAL PRADESH,3,Dadra & Nagar Haveli,5,0,0,0,1,4,0,8,3,0,0,0,0,2,0,3,0,0,0,1,2,0,0
HIMACHAL PRADESH,2287,Maharashtra,3465,38,273,614,211,1769,1518,5752,1329,27,176,13,128,702,1250,1169,11,97,601,83,1067,268,160
HIMACHAL PRADESH,616,Andhra Pradesh,1317,11,399,74,45,580,389,1933,435,9,350,1,23,193,338,403,2,49,73,22,387,51,32
HIMACHAL PRADESH,620,Karnataka,918,4,149,138,24,361,381,1538,481,2,95,16,17,148,276,364,2,54,122,7,213,105,117
HIMACHAL PRADESH,36,Goa,75,0,15,7,6,30,31,111,22,0,10,0,4,13,27,21,0,5,7,2,17,4,1
HIMACHAL PRADESH,42,Lakshadweep,60,1,2,17,2,2,76,102,2,1,1,1,1,2,53,1,0,1,16,1,0,23,1
HIMACHAL PRADESH,332,Kerala,443,7,24,54,13,261,148,775,268,6,17,1,3,92,112,212,1,7,53,10,169,36,56
HIMACHAL PRADESH,264,Tamil Nadu,404,3,26,45,22,237,85,668,250,2,21,1,9,88,60,223,1,5,44,13,149,25,27
HIMACHAL PRADESH,7,Puducherry,7,1,0,3,0,4,2,14,4,1,0,0,0,1,1,4,0,0,3,0,3,1,0
HIMACHAL PRADESH,19,Andaman & Nicobar Islands,28,0,3,6,1,13,14,47,10,0,3,0,0,6,11,8,0,0,6,1,7,3,2
HIMACHAL PRADESH,3982,Other Countries,1626,27,132,2887,208,595,1287,5608,472,24,73,64,129,270,708,358,3,59,2823,79,325,579,114
PUNJAB,47671,Jammu & Kashmir,22628,532,677,32700,1560,13539,12141,70299,9150,322,395,697,961,5554,6667,8032,210,282,32003,599,7985,5474,1118
PUNJAB,136453,Himachal Pradesh,77760,1419,2094,88252,14088,42518,29605,214213,36237,972,1265,2057,8655,17460,15196,32155,447,829,86195,5433,25058,14409,4082
PUNJAB,74955,Chandigarh,74636,925,886,19748,24119,54522,34950,149591,14441,619,510,458,14118,26034,20772,12125,306,376,19290,10001,28488,14178,2316
PUNJAB,28205,Uttarakhand,27187,384,516,11184,2052,17269,8931,55392,15056,262,339,251,1243,6237,5164,13691,122,177,10933,809,11032,3767,1365
PUNJAB,391365,Haryana,154219,3132,2487,283879,47149,87365,71640,545584,49932,1955,1434,5400,29821,38883,34243,42483,1177,1053,278479,17328,48482,37397,7449
PUNJAB,27445,NCT of Delhi,17865,415,528,14743,3259,12548,7691,45310,6126,275,348,324,2125,5542,4058,5193,140,180,14419,1134,7006,3633,933
PUNJAB,134917,Rajasthan,67249,1137,1171,90756,14565,40341,25533,202166,28663,779,690,1577,9370,17723,13477,23633,358,481,89179,5195,22618,12056,5030
PUNJAB,291581,Uttar Pradesh,357976,4898,3041,93365,19796,208101,89360,649557,230996,3364,2023,2424,11911,83062,52604,202588,1534,1018,90941,7885,125039,36756,28408
PUNJAB,136536,Bihar,216001,2458,1896,35434,10128,105336,47790,352537,149495,1762,1446,1019,5771,41146,29708,135149,696,450,34415,4357,64190,18082,14346
PUNJAB,155,Sikkim,175,2,7,27,7,155,59,330,73,1,5,1,4,59,40,65,1,2,26,3,96,19,8
PUNJAB,202,Arunachal Pradesh,203,2,11,40,29,189,75,405,59,2,9,0,18,72,47,55,0,2,40,11,117,28,4
PUNJAB,247,Nagaland,322,6,6,58,19,225,111,569,144,6,3,1,15,86,78,133,0,3,57,4,139,33,11
PUNJAB,356,Manipur,418,7,30,52,13,300,162,774,210,5,18,0,5,91,111,188,2,12,52,8,209,51,22
PUNJAB,112,Mizoram,199,2,13,14,3,109,34,311,136,1,10,0,2,34,21,131,1,3,14,1,75,13,5
PUNJAB,183,Tripura,202,2,27,40,7,153,83,385,73,2,22,1,2,46,61,68,0,5,39,5,107,22,5
PUNJAB,270,Meghalaya,237,5,10,59,13,247,104,507,69,2,7,3,10,96,57,62,3,3,56,3,151,47,7
PUNJAB,6611,Assam,5314,72,156,2584,391,4348,2102,11925,2272,51,91,70,250,1678,1231,1943,21,65,2514,141,2670,871,329
PUNJAB,25366,West Bengal,21592,414,335,11883,1815,13137,7809,46958,11565,287,234,261,1172,5120,4539,9979,127,101,11622,643,8017,3270,1586
PUNJAB,8418,Jharkhand,11532,118,248,2323,566,5683,2852,19950,8160,82,192,73,321,2107,1776,6981,36,56,2250,245,3576,1076,1179
PUNJAB,5701,Odisha,6016,92,106,2200,333,3154,2160,11717,3672,54,70,42,196,1042,1358,3254,38,36,2158,137,2112,802,418
PUNJAB,4115,Chhattisgarh,4288,28,44,789,195,2657,1237,8403,3453,17,35,21,111,1089,724,2291,11,9,768,84,1568,513,1162
PUNJAB,17025,Madhya Pradesh,15844,225,347,6156,1486,10977,5755,32869,7923,148,208,173,903,4466,3436,6510,77,139,5983,583,6511,2319,1413
PUNJAB,5385,Gujarat,5051,73,190,1741,532,4168,1935,10436,1797,48,129,55,342,1642,1225,1610,25,61,1686,190,2526,710,187
PUNJAB,1,Daman & Diu,5,0,0,0,0,5,0,6,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0
PUNJAB,11,Dadra & Nagar Haveli,6,3,0,3,1,6,3,17,1,1,0,0,0,4,1,0,2,0,3,1,2,2,1
PUNJAB,17785,Maharashtra,14996,254,456,6892,1818,11189,7533,32781,4639,187,281,143,1176,4506,4663,4040,67,175,6749,642,6683,2870,599
PUNJAB,3974,Andhra Pradesh,3815,49,216,841,327,3291,1810,7789,1255,29,164,24,200,1047,1209,1142,20,52,817,127,2244,601,113
PUNJAB,2291,Karnataka,2179,30,69,534,157,1856,1094,4470,730,16,46,9,101,612,728,667,14,23,525,56,1244,366,63
PUNJAB,192,Goa,243,4,14,64,23,133,81,435,116,2,8,2,18,62,45,106,2,6,62,5,71,36,10
PUNJAB,251,Lakshadweep,349,0,6,78,36,108,338,600,34,0,2,5,22,60,233,27,0,4,73,14,48,105,7
PUNJAB,2922,Kerala,2988,37,315,505,168,1889,1339,5910,1657,19,177,19,93,621,809,1250,18,138,486,75,1268,530,407
PUNJAB,2624,Tamil Nadu,2916,35,75,504,145,2070,1349,5540,1362,22,60,24,82,678,926,1124,13,15,480,63,1392,423,238
PUNJAB,187,Puducherry,123,2,1,118,32,50,83,310,24,2,1,5,19,26,52,18,0,0,113,13,24,31,6
PUNJAB,125,Andaman & Nicobar Islands,128,1,7,32,16,118,47,253,32,1,6,0,10,53,28,30,0,1,32,6,65,19,2
PUNJAB,18946,Other Countries,15575,157,358,8971,3444,6615,12193,34521,2783,108,209,252,2016,3264,7361,2365,49,149,8719,1428,3351,4832,418
CHANDIGARH,2924,Jammu & Kashmir,3073,92,520,634,175,2361,705,5997,1510,84,285,7,103,820,394,1380,8,235,627,72,1541,311,130
CHANDIGARH,26773,Himachal Pradesh,33481,709,4793,9578,3259,15815,5772,60254,20328,638,3042,111,1885,5520,3291,18994,71,1751,9467,1374,10295,2481,1334
CHANDIGARH,80170,Punjab,68311,2958,7851,34559,10089,42603,16429,148481,33992,2716,4337,431,5980,16565,8886,29396,242,3514,34128,4109,26038,7543,4596
CHANDIGARH,13966,Uttarakhand,17198,183,772,5058,1285,9074,3190,31164,11602,150,511,32,786,2789,1782,11148,33,261,5026,499,6285,1408,454
CHANDIGARH,48005,Haryana,45032,1743,3477,19891,6509,28313,10065,93037,23039,1616,2077,221,3912,10846,5583,20777,127,1400,19670,2597,17467,4482,2262
CHANDIGARH,11089,NCT of Delhi,9800,500,769,3957,979,7561,2176,20889,4947,439,481,52,524,2811,1132,4361,61,288,3905,455,4750,1044,586
