AreaName,LastResidence,Persons_0to4,Males_0to4,Females_0to4,Persons_5to9,Males_5to9,Females_5to9,Persons_10to14,Males_10to14,Females_10to14,Persons_15to19,Males_15to19,Females_15to19,Persons_20to24,Males_20to24,Females_20to24,Persons_25to29,Males_25to29,Females_25to29,Persons_30to34,Males_30to34,Females_30to34,Persons_35to39,Males_35to39,Females_35to39,Persons_40to44,Males_40to44,Females_40to44,Persons_45to49,Males_45to49,Females_45to49,Persons_50to54,Males_50to54,Females_50to54,Persons_55to59,Males_55to59,Females_55to59,Persons_60to64,Males_60to64,Females_60to64,Persons_65to69,Males_65to69,Females_65to69,Persons_70to74,Males_70to74,Females_70to74,Persons_75to79,Males_75to79,Females_75to79,Persons_80plus,Males_80plus,Females_80plus,Persons_AgeNS,Males_AgeNS,Females_AgeNS
Madhya Pradesh,Kerala,455,227,228,587,281,306,352,182,170,512,197,315,1094,296,798,868,282,586,768,275,493,660,263,397,538,248,290,437,218,219,287,132,155,239,112,127,181,80,101,138,54,84,91,37,54,51,19,32,57,13,44,15,8,7
Madhya Pradesh,Tamil Nadu,382,204,178,388,212,176,236,115,121,259,129,130,560,264,296,661,249,412,500,227,273,386,202,184,263,155,108,146,83,63,147,93,54,83,45,38,66,41,25,37,19,18,25,12,13,18,7,11,17,6,11,7,4,3
Madhya Pradesh,Puducherry,4,3,1,6,3,3,1,1,0,2,2,0,2,0,2,5,2,3,6,3,3,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Madhya Pradesh,Andaman & Nicobar Islands,7,3,4,12,6,6,3,0,3,3,2,1,11,3,8,9,1,8,17,7,10,9,3,6,4,2,2,2,0,2,4,3,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Gujarat,Jammu & Kashmir,221,114,107,298,184,114,250,136,114,217,113,104,254,129,125,381,164,217,324,138,186,282,131,151,212,134,78,130,92,38,77,50,27,40,22,18,27,15,12,21,13,8,9,6,3,8,3,5,11,4,7,9,3,6
Gujarat,Himachal Pradesh,126,79,47,183,106,77,107,67,40,104,59,45,218,127,91,312,147,165,292,127,165,208,119,89,118,79,39,115,94,21,93,81,12,40,23,17,16,10,6,10,8,2,8,3,5,4,1,3,9,4,5,4,1,3
Gujarat,Punjab,768,430,338,1079,620,459,868,479,389,892,546,346,1761,1149,612,1814,858,956,1507,765,742,1075,550,525,878,517,361,601,391,210,416,285,131,258,143,115,220,134,86,121,69,52,65,38,27,28,16,12,57,30,27,56,36,20
Gujarat,Chandigarh,68,32,36,89,46,43,88,53,35,93,48,45,97,46,51,106,35,71,122,60,62,91,41,50,86,35,51,47,31,16,27,15,12,16,9,7,12,7,5,8,4,4,7,2,5,2,2,0,4,2,2,4,1,3
Gujarat,Uttarakhand,339,185,154,432,235,197,294,169,125,329,209,120,883,515,368,1182,621,561,779,425,354,499,310,189,323,189,134,265,162,103,186,130,56,82,52,30,63,37,26,30,16,14,37,22,15,20,10,10,29,18,11,27,12,15
Gujarat,Haryana,1158,611,547,1509,838,671,1161,735,426,1044,612,432,1908,883,1025,2429,1098,1331,1872,967,905,1296,702,594,876,506,370,633,392,241,432,267,165,258,149,109,231,127,104,122,67,55,82,37,45,42,20,22,74,36,38,58,37,21
Gujarat,NCT of Delhi,1156,631,525,1560,846,714,1219,638,581,1240,710,530,1886,934,952,2241,940,1301,1944,905,1039,1454,747,707,1001,533,468,616,362,254,436,239,197,326,182,144,231,113,118,147,73,74,103,39,64,48,28,20,71,33,38,53,25,28
Gujarat,Rajasthan,28901,15476,13425,31609,17321,14288,16736,9448,7288,26283,15035,11248,60843,26100,34743,58976,25539,33437,34050,18484,15566,18976,11323,7653,11682,7051,4631,7673,4503,3170,5215,3009,2206,3352,1804,1548,2758,1467,1291,1529,791,738,1030,498,532,602,253,349,1113,511,602,1466,854,612
Gujarat,Uttar Pradesh,33741,17793,15948,41795,22937,18858,23914,14178,9736,58150,47509,10641,114243,79512,34731,97013,61620,35393,54989,36809,18180,32795,23189,9606,18441,13367,5074,10532,7635,2897,6100,4341,1759,3402,2271,1131,2637,1659,978,1469,904,565,857,483,374,456,269,187,1110,710,400,2904,1970,934
Gujarat,Bihar,14978,7882,7096,17471,9624,7847,10772,6924,3848,25288,21455,3833,56390,43765,12625,47863,34213,13650,27822,20494,7328,16024,12298,3726,8277,6498,1779,4479,3464,1015,2456,1814,642,1328,921,407,1070,661,409,583,322,261,358,192,166,185,104,81,492,323,169,1258,934,324
Gujarat,Sikkim,5,4,1,5,1,4,2,1,1,9,6,3,5,3,2,7,4,3,14,9,5,9,3,6,7,3,4,4,3,1,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Gujarat,Arunachal Pradesh,4,1,3,11,7,4,8,5,3,17,10,7,34,23,11,21,11,10,22,9,13,16,9,7,9,5,4,2,0,2,4,3,1,2,1,1,3,1,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
Gujarat,Nagaland,11,6,5,8,5,3,10,4,6,13,7,6,29,15,14,17,5,12,21,9,12,14,7,7,8,6,2,11,7,4,5,2,3,1,0,1,2,1,1,2,2,0,1,1,0,0,0,0,1,0,1,1,1,0
Gujarat,Manipur,18,11,7,11,8,3,42,31,11,88,63,25,67,48,19,51,26,25,33,14,19,24,14,10,18,14,4,9,8,1,5,3,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,8,3,5
Gujarat,Mizoram,1,1,0,1,1,0,2,2,0,4,0,4,2,1,1,3,1,2,1,1,0,2,0,2,1,0,1,1,1,0,1,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Tripura,26,12,14,22,14,8,30,14,16,34,24,10,49,35,14,48,25,23,45,25,20,36,14,22,40,21,19,30,22,8,15,11,4,12,9,3,3,1,2,3,0,3,5,3,2,1,1,0,3,2,1,0,0,0
Gujarat,Meghalaya,25,15,10,41,18,23,48,20,28,50,28,22,31,12,19,37,14,23,42,16,26,52,16,36,36,20,16,20,11,9,4,3,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1
Gujarat,Assam,308,177,131,483,271,212,609,347,262,909,571,338,1457,1057,400,1240,796,444,789,423,366,611,286,325,651,304,347,533,308,225,346,254,92,174,135,39,73,43,30,46,22,24,39,15,24,33,19,14,32,14,18,38,25,13
Gujarat,West Bengal,3104,1608,1496,2977,1612,1365,1910,1156,754,4987,3647,1340,12758,8749,4009,9913,6098,3815,5992,3850,2142,3602,2362,1240,2161,1436,725,1250,817,433,861,555,306,587,320,267,399,224,175,265,138,127,183,93,90,111,56,55,172,79,93,198,122,76
Gujarat,Jharkhand,1613,831,782,1742,932,810,1100,705,395,4351,3877,474,9716,8237,1479,7648,6143,1505,4132,3291,841,2366,1937,429,1211,989,222,661,532,129,357,266,91,214,139,75,158,100,58,96,61,35,78,51,27,37,23,14,83,61,22,211,172,39
Gujarat,Odisha,5684,3106,2578,5773,3251,2522,3325,2176,1149,11856,10490,1366,26352,21567,4785,23706,17432,6274,13052,9862,3190,7867,6053,1814,4262,3352,910,2213,1636,577,1119,858,261,593,411,182,381,240,141,196,122,74,132,84,48,62,33,29,170,127,43,845,677,168
Gujarat,Chhattisgarh,940,494,446,660,349,311,411,233,178,685,426,259,1562,943,619,1472,774,698,1066,589,477,704,422,282,490,290,200,303,184,119,159,101,58,99,58,41,75,49,26,44,23,21,28,14,14,14,10,4,25,10,15,49,25,24
Gujarat,Madhya Pradesh,12618,6619,5999,13078,6977,6101,8161,4377,3784,14755,9234,5521,28660,15119,13541,25353,12141,13212,14699,8091,6608,8819,5127,3692,5472,3234,2238,3527,2082,1445,2376,1393,983,1457,808,649,1118,598,520,651,342,309,456,234,222,239,118,121,357,176,181,648,342,306
Gujarat,Gujarat,773454,408483,364971,875132,476275,398857,442165,240361,201804,582925,199730,383195,1340669,213266,1127403,1326442,235580,1090862,607611,206277,401334,357014,162723,194291,251408,122551,128857,189747,93720,96027,135273,69555,65718,93931,46909,47022,72341,35517,36824,44265,20959,23306,31492,13615,17877,16047,6611,9436,27147,9822,17325,24290,9595,14695
Gujarat,Daman & Diu,708,359,349,799,442,357,349,198,151,288,108,180,717,130,587,814,150,664,441,123,318,286,123,163,181,94,87,93,50,43,67,31,36,48,20,28,37,19,18,29,18,11,15,5,10,11,5,6,9,2,7,25,12,13
Gujarat,Dadra & Nagar Haveli,429,239,190,428,223,205,208,115,93,335,79,256,992,135,857,829,156,673,413,155,258,233,100,133,153,81,72,89,43,46,52,25,27,40,23,17,32,18,14,15,6,9,8,3,5,6,5,1,11,2,9,34,14,20
Gujarat,Maharashtra,35735,19179,16556,41142,22289,18853,22183,11843,10340,26908,12623,14285,59343,19463,39880,62203,21854,40349,39653,18378,21275,26053,13620,12433,17801,9768,8033,12692,6667,6025,9111,4861,4250,6776,3453,3323,5612,2835,2777,3536,1685,1851,2485,1129,1356,1255,622,633,1542,670,872,2089,998,1091
Gujarat,Andhra Pradesh,1929,1012,917,2110,1082,1028,1150,567,583,1318,619,699,2955,1198,1757,3463,1433,2030,2506,1367,1139,1822,1024,798,1269,759,510,872,525,347,591,369,222,331,190,141,255,122,133,156,73,83,111,43,68,62,40,22,74,28,46,78,46,32
Gujarat,Karnataka,1464,792,672,1431,738,693,737,391,346,824,417,407,1929,724,1205,2315,770,1545,1737,749,988,1222,596,626,788,467,321,487,268,219,380,235,145,231,136,95,181,88,93,105,49,56,70,37,33,38,23,15,64,26,38,59,30,29
Gujarat,Goa,89,44,45,135,69,66,68,37,31,62,34,28,89,49,40,109,39,70,108,49,59,104,50,54,70,42,28,32,18,14,27,15,12,24,11,13,15,8,7,10,3,7,11,7,4,4,2,2,7,4,3,9,4,5
Gujarat,Lakshadweep,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Gujarat,Kerala,1288,637,651,1712,866,846,811,431,380,645,357,288,1458,684,774,1968,739,1229,1720,712,1008,1454,798,656,1130,665,465,854,511,343,555,346,209,411,239,172,251,138,113,145,67,78,99,52,47,48,20,28,67,25,42,54,28,26
Gujarat,Tamil Nadu,1156,607,549,1221,635,586,678,358,320,690,374,316,1515,766,749,2083,947,1136,1556,788,768,1168,676,492,872,538,334,564,353,211,426,246,180,317,185,132,191,123,68,114,66,48,86,39,47,53,20,33,71,37,34,59,28,31
