AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_Work,Males_Work,Females_Work,Persons_Business,Males_Business,Females_Business,Persons_Education,Males_Education,Females_Education,Persons_Marriage,Males_Marriage,Females_Marriage,Persons_MoveAfterBirth,Males_MoveAfterBirth,Females_MoveAfterBirth,Persons_MoveWithHH,Males_MoveWithHH,Females_MoveWithHH,Persons_Other,Males_Other,Females_Other
GUJARAT,Odisha,176072,133840,42232,77284,74541,2743,2072,1627,445,348,207,141,8800,407,8393,3410,1978,1432,29703,11748,17955,54455,43332,11123
GUJARAT,Chhattisgarh,12397,6794,5603,4366,3666,700,251,219,32,80,45,35,1241,30,1211,534,294,240,4354,1621,2733,1571,919,652
GUJARAT,Madhya Pradesh,274773,135646,139127,72459,64432,8027,7519,6164,1355,1226,737,489,60436,1337,59099,12716,7481,5235,76331,30487,45844,44086,25008,19078
GUJARAT,Daman & Diu,14501,4696,9805,959,801,158,259,172,87,112,78,34,5911,133,5778,2392,1417,975,2162,896,1266,2706,1199,1507
GUJARAT,Dadra & Nagar Haveli,10779,2616,8163,777,613,164,151,92,59,115,43,72,5931,233,5698,784,455,329,1433,589,844,1588,591,997
GUJARAT,Maharashtra,971975,450429,521546,174457,153049,21408,27534,22204,5330,4147,2593,1554,215496,6897,208599,79588,48284,31304,266419,106841,159578,204334,110561,93773
GUJARAT,Andhra Pradesh,46784,23818,22966,12267,11119,1148,1010,848,162,346,280,66,6416,183,6233,2778,1598,1180,16633,5629,11004,7334,4161,3173
GUJARAT,Karnataka,30437,14205,16232,5995,5339,656,1254,1061,193,338,266,72,6074,170,5904,2307,1310,997,9057,3239,5818,5412,2820,2592
GUJARAT,Goa,1951,895,1056,399,338,61,53,41,12,27,19,8,325,16,309,133,73,60,673,239,434,341,169,172
GUJARAT,Lakshadweep,55,30,25,4,4,0,2,2,0,0,0,0,4,0,4,0,0,0,8,2,6,37,22,15
GUJARAT,Kerala,44356,23036,21320,12500,10747,1753,1798,1534,264,380,230,150,5873,193,5680,3130,1672,1458,12373,4214,8159,8302,4446,3856
GUJARAT,Tamil Nadu,28620,14991,13629,7216,6436,780,1431,1226,205,264,194,70,4035,129,3906,1832,1047,785,8918,3227,5691,4924,2732,2192
GUJARAT,Puducherry,552,267,285,121,112,9,15,12,3,1,1,0,96,1,95,50,28,22,178,65,113,91,48,43
GUJARAT,Andaman & Nicobar Islands,332,179,153,59,54,5,9,5,4,8,8,0,18,0,18,7,5,2,189,79,110,42,28,14
GUJARAT,Other Countries,27978,13255,14723,2168,1827,341,972,800,172,601,380,221,4262,116,4146,2791,1561,1230,6857,2993,3864,10327,5578,4749
DAMAN & DIU,Jammu & Kashmir,57,33,24,22,20,2,0,0,0,0,0,0,3,0,3,1,1,0,17,7,10,14,5,9
DAMAN & DIU,Himachal Pradesh,96,59,37,42,40,2,1,1,0,2,2,0,5,0,5,4,3,1,38,11,27,4,2,2
DAMAN & DIU,Punjab,165,128,37,104,103,1,5,4,1,6,5,1,7,0,7,2,1,1,35,9,26,6,6,0
DAMAN & DIU,Chandigarh,37,23,14,18,17,1,2,2,0,0,0,0,0,0,0,0,0,0,15,4,11,2,0,2
DAMAN & DIU,Uttarakhand,405,291,114,231,224,7,9,9,0,3,3,0,29,0,29,6,3,3,114,46,68,13,6,7
DAMAN & DIU,Haryana,159,95,64,65,65,0,7,7,0,1,1,0,7,0,7,5,0,5,66,18,48,8,4,4
DAMAN & DIU,NCT of Delhi,438,311,127,250,240,10,14,12,2,1,1,0,16,0,16,2,1,1,124,38,86,31,19,12
DAMAN & DIU,Rajasthan,4584,3054,1530,2120,2011,109,248,239,9,67,46,21,315,3,312,170,97,73,1394,489,905,270,169,101
DAMAN & DIU,Uttar Pradesh,27657,21356,6301,18084,17605,479,404,382,22,59,39,20,1248,28,1220,519,279,240,6005,2139,3866,1338,884,454
DAMAN & DIU,Bihar,28202,22449,5753,19854,19290,564,157,150,7,28,18,10,1096,25,1071,385,186,199,5412,1932,3480,1270,848,422
DAMAN & DIU,Arunachal Pradesh,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,Nagaland,5,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0
DAMAN & DIU,Manipur,12,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
DAMAN & DIU,Tripura,32,27,5,26,26,0,0,0,0,0,0,0,2,0,2,0,0,0,4,1,3,0,0,0
DAMAN & DIU,Meghalaya,4,1,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0
DAMAN & DIU,Assam,1622,1452,170,1418,1368,50,3,3,0,0,0,0,37,1,36,5,5,0,101,27,74,58,48,10
DAMAN & DIU,West Bengal,4872,3838,1034,3557,3402,155,64,59,5,3,1,2,225,2,223,47,20,27,766,210,556,210,144,66
DAMAN & DIU,Jharkhand,3386,2896,490,2686,2625,61,13,12,1,2,2,0,91,1,90,40,21,19,426,132,294,128,103,25
DAMAN & DIU,Odisha,4590,3661,929,3419,3318,101,15,14,1,6,4,2,247,3,244,100,54,46,673,179,494,130,89,41
DAMAN & DIU,Chhattisgarh,336,207,129,184,155,29,3,3,0,0,0,0,15,1,14,11,7,4,112,33,79,11,8,3
DAMAN & DIU,Madhya Pradesh,7579,6163,1416,5593,5396,197,50,45,5,11,8,3,203,5,198,80,46,34,1332,444,888,310,219,91
DAMAN & DIU,Gujarat,23072,10041,13031,5395,4736,659,548,470,78,208,100,108,7099,200,6899,2434,1447,987,5350,2042,3308,2038,1046,992
DAMAN & DIU,Dadra & Nagar Haveli,159,83,76,62,59,3,2,2,0,21,0,21,18,0,18,0,0,0,50,19,31,6,3,3
DAMAN & DIU,Maharashtra,14738,8527,6211,5969,5555,414,220,200,20,88,65,23,1778,57,1721,865,509,356,4806,1578,3228,1012,563,449
DAMAN & DIU,Andhra Pradesh,386,228,158,161,150,11,7,5,2,2,2,0,28,1,27,15,11,4,154,47,107,19,12,7
DAMAN & DIU,Karnataka,569,327,242,248,218,30,14,10,4,4,0,4,57,3,54,30,17,13,184,57,127,32,22,10
DAMAN & DIU,Goa,127,64,63,40,34,6,7,5,2,2,2,0,20,1,19,5,5,0,46,12,34,7,5,2
DAMAN & DIU,Lakshadweep,53,24,29,16,16,0,0,0,0,0,0,0,1,0,1,0,0,0,31,6,25,5,2,3
DAMAN & DIU,Kerala,792,439,353,320,284,36,11,11,0,8,5,3,66,4,62,41,11,30,267,85,182,79,39,40
DAMAN & DIU,Tamil Nadu,341,193,148,132,127,5,7,7,0,3,1,2,28,0,28,14,9,5,139,40,99,18,9,9
DAMAN & DIU,Puducherry,6,5,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
